ner_tuple
"(0, 20, 'CatholicBeyondEurope', 'bk.tle:CatholicBeyondEurope')"
"(0, 17, 'European countries', 'bk.%25Europe_Place')"
"(53, 74, 'mid-1400s to mid-1500s', 'date.1400+100+m-1500+100+m')"
"(77, 83, 'temples', 'bk.%25temple.building')"
"(89, 93, 'idols', 'bk.%24gravenImage')"
"(96, 117, 'mid-1400s to mid-1500s', 'date.1400+100+m-1500+100+m')"
"(4, 23, 'Atlantic slave trade', 'bk.tle%3aatlanticslavetrade')"
"(42, 52, '1500s–1800s', 'date.1500+100-1800+100')"
"(0, 5, 'Reform', 'bk.%25reform')"
"(14, 34, 'Roman Catholic Church', 'bk.%25RomanCatholicism_Belief')"
"(65, 74, 'evangelism', 'bk.pt%3aEvangelism')"
"(91, 99, '1523–1648', 'date.1523-1648')"
"(17, 31, 'monastic orders', 'bk.%25ReligiousOrder')"
"(92, 114, 'mid-1500s to late 1700s', 'date.1500+100+m-1700+100+l')"
"(67, 89, 'mid-1500s to late 1700s', 'date.1500+100+m-1700+100+l')"
"(5, 16, 'missionaries', 'bk.%25evangelist')"
"(137, 159, 'mid-1500s to late 1700s', 'date.1500+100+m-1700+100+l')"
"(118, 127, 'late 1600s', 'date.1600+100+l')"
"(32, 74, 'sent to the Plains Indians in North America', 'bk.tle%3afirstmissionariesplainsindians')"
"(77, 81, '1700s', 'date.1700+100')"
"(0, 20, 'Vasco Nuñez de Balboa', 'bk.%25VascoNunezDeBalboa_Person')"
"(23, 42, 'c. 1475–January 1519', 'date.1475+c-1519.1')"
"(46, 52, 'Spanish', 'bk.%25Spain_Place')"
"(122, 134, 'Pacific Ocean', 'bk.%40PacificOcean')"
"(0, 17, 'Juan Ponce de León', 'bk.%25JuanPonceDeLeon_Person')"
"(20, 28, '1474–1521', 'date.1474-1521')"
"(85, 95, 'Puerto Rico', 'bk.%25PuertoRico_Place')"
"(141, 147, 'Florida', 'bk.%40Florida')"
"(0, 12, 'Vasco da Gama', 'bk.%25VascoDaGama_Person')"
"(15, 39, 'c. 1460–December 24, 1524', 'date.1460+c-1524.12.24')"
"(43, 52, 'Portuguese', 'bk.%25Portugal_Place')"
"(100, 104, 'India', 'bk.%25India_Place')"
"(144, 147, 'Asia', 'bk.%25Asia_Place')"
"(0, 19, 'Christopher Columbus', 'bk.%25ChristopherColumbus_Person')"
"(22, 41, 'c. 1451–May 20, 1506', 'date.1451+c-1506.5.20')"
"(101, 114, 'Roman Catholic', 'bk.%25RomanCatholicism_Belief')"
"(128, 132, 'Spain', 'bk.%25Spain_Place')"
"(0, 14, 'Hernando Cortés', 'bk.%25HernandoCortes_Person')"
"(17, 37, '1485–December 2, 1547', 'date.1485-1547.12.2')"
"(95, 100, 'Aztecs', 'bk.%25Aztecs_People')"
"(116, 121, 'Mexico', 'bk.%40Mexico')"
"(0, 16, 'Francisco Pizarro', 'bk.%25FranciscoPizarro_Person')"
"(19, 46, 'March 16, 1478–June 26, 1541', 'date.1478.3.16-1541.6.26')"
"(89, 93, 'Incas', 'bk.%40IncaEmpire')"
"(109, 112, 'Peru', 'bk.%40Peru')"
"(127, 136, 'Atahuallpa', 'bk.%25Atahuallpa_Person')"
"(0, 13, 'Junípero Serra', 'bk.%25JuniperoSerra_Person')"
"(16, 48, 'November 24, 1713–August 28, 1784', 'date.1713.11.24-1784.8.28')"
"(126, 135, 'California', 'bk.%40California')"
"(0, 16, 'Juan De Zumárraga', 'bk.%25JuanDeZumarraga_Person')"
"(19, 27, '1468–1548', 'date.1468-1548')"
"(39, 48, 'Franciscan', 'bk.%25Franciscans_People')"
"(50, 59, 'archbishop', 'bk.%25archbishop')"
"(64, 69, 'Mexico', 'bk.%40Mexico')"
"(164, 173, 'Inquisitor', 'bk.%25SpanishInquisition')"
"(189, 192, '1536', 'date.1536')"
"(207, 212, 'heresy', 'bk.%25heresy')"
"(0, 21, 'Bartolomé De Las Casas', 'bk.%25BartolomeDeLasCasas_Person')"
"(24, 43, 'c. 1484–July 1, 1566', 'date.1484+c-1566.7.1')"
"(55, 63, 'Dominican', 'bk.%25Dominicans_People')"
"(79, 89, 'West Indies', 'bk.%40WestIndies')"
"(104, 109, 'bishop', 'bk.%25bishop')"
"(114, 120, 'Chiapas', 'bk.%25Chiapas_Place')"
"(0, 20, 'Bernardino de Sahagún', 'bk.%25BernardinoDeSahagun_Person')"
"(23, 46, 'c. 1499–February 5, 1590', 'date.1499+c-1590.2.5')"
"(58, 67, 'Franciscan', 'bk.%25Franciscans_People')"
"(69, 73, 'friar', 'bk.%25friar')"
"(128, 169, 'General History of the Things of New Spain', 'bk.%FlorentineCodex-Writing')"
"(0, 13, 'Francis Xavier', 'bio.FrancisXavier')"
"(16, 45, 'April 7, 1506–December 3, 1552', 'date.1506.4.7-1552.12.3')"
"(57, 62, 'Jesuit', 'bk.%25Jesuits_People')"
"(93, 97, 'Japan', 'bk.%40Japan')"
"(0, 11, 'Matteo Ricci', 'bk.%25MatteoRicci_Person')"
"(14, 41, 'October 6, 1552–May 11, 1610', 'date.1552.10.6-1610.5.11')"
"(74, 78, 'China', 'bk.%40China')"
"(96, 104, 'Capuchins', 'bk.%25Capuchins_People')"
"(0, 15, 'Robert De Nobili', 'bk.%25RobertDeNobili_Person')"
"(18, 38, '1577–January 16, 1656', 'date.1577-1656.1.16')"
"(50, 55, 'Jesuit', 'bk.%25Jesuits_People')"
"(71, 75, 'India', 'bk.%25India_Place')"
"(89, 93, 'Hindu', 'bk.%25Hinduism_Belief')"
"(0, 16, 'Jacques Marquette', 'bk.%25JacquesMarquette_Person')"
"(19, 43, 'June 1, 1637–May 18, 1675', 'date.1637.6.1-1675.5.18')"
"(88, 100, 'North America', 'bk.%40NorthAmerica')"
"(0, 11, 'Alexander VI', 'bk.%25PopeAlexanderVI_Person')"
"(14, 33, '1431-August 18, 1503', 'date.1431-1503.8.18')"
"(37, 40, 'pope', 'bk.%25pope')"
"(56, 59, 'Rome', 'bk.%25Rome_Place')"
"(62, 70, '1492–1503', 'date.1492-1503')"
"(99, 111, 'Inter Caetera', 'bk.%InterCaetera1493_Writing')"
"(145, 155, 'Christendom', 'bk.%25christendom')"
"(0, 9, 'Gregory XV', 'bk.%25PopeGregoryXV_Person')"
"(12, 39, 'January 9, 1616–July 8, 1623', 'date.1616.1.9-1623.7.8')"
"(68, 77, '1621--1623', 'date.1621-1623')"
"(96, 133, 'Sacred Congregation de Propaganda Fide', 'bk.%25sacredCongregationOfPropaganda')"
"(0, 9, 'Urban VIII', 'bk.%PopeUrbanVIII_Person')"
"(12, 38, 'April 5, 1568–July 29, 1644', 'date.1568.4.5-1644.7.29')"
"(67, 76, '1623--1644', 'date.1623-1644')"
"(95, 139, 'Pontificio Collegio Urbano de Propaganda Fide', 'bk.%PontificalUrbanCollege_Place')"
"(0, 16, 'Pope Benedict XIV', 'bio.PopeBenedictXIV')"
"(19, 44, 'March 31, 1675–May 3, 1758', 'date.1675.3.31-1758.5.3')"
"(73, 82, '1740--1758', 'date.1740-1758')"
"(112, 137, 'Immensa Pastorum Principis', 'bk.%ImmensaPastorumPrincipis_Writing')"
