ner_tuple
"(0, 32, 'CatholicChurchReaffirmsAuthority', 'bk.tle:CatholicChurchReaffirmsAuthority')"
"(10, 24, 'democratic rule', 'bk.%25democracy')"
"(82, 101, 'late 1700s–mid-1800s', 'date.1700+100+l-1800+100+m')"
"(4, 20, 'Thirteen Colonies', 'bk.%40ThirteenColonies')"
"(47, 59, 'Great Britain', 'bk.%40GreatBritain')"
"(62, 70, '1776–1783', 'date.1776-1783')"
"(49, 57, '1789–1799', 'date.1789-1799')"
"(0, 9, 'Revolution', 'bk.%25revolution')"
"(33, 36, '1848', 'date.1848')"
"(12, 22, 'nationalism', 'bk.%25nationalism')"
"(77, 81, '1800s', 'date.1800+100')"
"(0, 9, 'Liberalism', 'bk.%25Liberalism_Belief')"
"(15, 28, 'secularization', 'bk.%25secularism')"
"(64, 74, '1800s–1900s', 'date.1800+100-1900+100')"
"(4, 20, 'Holy Roman Empire', 'bk.%40HolyRomanEmpire')"
"(37, 40, '1806', 'date.1806')"
"(21, 29, 'modernism', 'bk.%25modernism_Belief')"
"(32, 52, 'mid-1800s–early 1900s', 'date.1800+100+m-1900+100+e')"
"(4, 15, 'Papal States', 'bk.%40PapalStates')"
"(70, 73, 'pope', 'bk.%25pope')"
"(76, 79, '1870', 'date.1870')"
"(66, 84, 'papal infallibility', 'bk.%25PapalInfallibility')"
"(147, 150, '1870', 'date.1870')"
"(0, 11, 'Vatican City', 'bk.%40VaticanCity')"
"(78, 81, 'Rome', 'bk.%25Rome_Place')"
"(151, 161, 'Catholicism', 'bk.%25Catholicism_Belief')"
"(164, 167, '1929', 'date.1929')"
"(0, 18, 'Alfred Firmin Loisy', 'bk.%25AlfredFirminLoisy_Person')"
"(21, 50, 'February 28, 1857–June 1, 1940', 'date.1857.2.28-1940.6.1')"
"(61, 74, 'Roman Catholic', 'bk.%25RomanCatholicism_Belief')"
"(95, 101, 'scholar', 'bk.%25scholar')"
"(104, 112, 'professor', 'bk.%25professor')"
"(119, 124, 'priest', 'bk.%23priest')"
"(150, 158, 'Modernist', 'bk.%25Liberalism_Belief')"
"(187, 214, 'Catholic University of Paris', 'bk.%CatholicUniversityOfParis_Place')"
"(234, 251, 'biblical criticism', 'bk.%25biblicalCriticism')"
"(264, 286, 'Autour d’un petit livre', 'bk.%AutourDunPetitLivre_Writing')"
"(292, 312, 'Le Quatrième Évangile', 'bk.%LeQuatriemeEvangile_Writing')"
"(377, 403, 'Index Librorum Prohibitorum', 'bk.%25indexLibrorumProhibitorum_Writing')"
"(424, 437, 'excommunicated', 'bk.%25excommunication')"
"(446, 449, '1908', 'date.1908')"
"(0, 13, 'George Tyrrell', 'bk.%25GeorgeTyrrell_Person')"
"(16, 45, 'February 6, 1861–July 15, 1909', 'date.1861.2.6-1909.7.15')"
"(76, 85, 'theologian', 'bk.%25theologian')"
"(101, 106, 'Jesuit', 'bk.%25Jesuits_People')"
"(108, 113, 'priest', 'bk.%23priest')"
"(134, 144, 'Anglicanism', 'bk.%25Anglicanism_Belief')"
"(179, 191, 'scholasticism', 'bk.%25Scholasticism_Belief')"
"(257, 269, ""Pope Pius X's"", 'bio.piusx')"
"(271, 294, 'Pascendi Dominici Gregis', 'bk.%PascendiDominiciGregis_Writing')"
"(322, 328, 'Jesuits', 'bk.%25Jesuits_People')"
"(333, 336, '1906', 'date.1906')"
"(368, 376, 'Eucharist', 'bk.%25LordsSupper')"
"(0, 10, 'Maude Petre', 'bio.maudepetre')"
"(13, 44, 'August 4, 1863–December 16, 1942', 'date.1863.8.4-1942.12.16')"
"(71, 73, 'nun', 'bk.%25monkNun')"
"(140, 178, 'Autobiography and Life of George Tyrell', 'bk.%autobiographyAndLifeGeorgeTyrell_Writing')"
"(269, 305, 'Modernism: Its Failure and Its Fruits', 'bk.%ModernismItsFailuresAndFruits_Writing')"
"(0, 8, 'Louis XVI', 'bio.louisxvi_1')"
"(11, 42, 'August 23, 1754–January 21, 1793', 'date.1754.8.23-1793.1.21')"
"(46, 49, 'king', 'bk.%23king')"
"(62, 70, '1774–1792', 'date.1774-1792')"
"(67, 70, '1792', 'date.1792')"
"(142, 157, 'Marie Antoinette', 'bk.%25MarieAntoinette_Person')"
"(188, 204, 'French Revolution', 'bk.tle%3afrenchrevolution')"
"(20, 49, 'March 14, 1820–January 9, 1878', 'date.1820.3.14-1878.1.9')"
"(61, 68, 'Sardinia', 'bk.%40Sardinia')"
"(71, 79, '1849–1861', 'date.1849-1861')"
"(86, 90, 'Italy', 'bk.%25Italy_Place')"
"(93, 101, '1861–1878', 'date.1861-1878')"
"(130, 136, 'Pius XI', 'bk.%25PopePiusXI_Person')"
"(227, 238, 'Papal States', 'bk.%40PapalStates')"
"(20, 46, 'August 15, 1769–May 5, 1821', 'date.1769.8.15-1821.5.5')"
"(50, 56, 'emperor', 'bk.%25emperor')"
"(61, 66, 'France', 'bk.%40France')"
"(69, 77, '1804–1814', 'date.1804-1814')"
"(81, 84, '1815', 'date.1815')"
"(99, 111, 'Pope Pius VII', 'bk.%25PopePiusVII_Person')"
"(128, 144, 'Concordat of 1801', 'bk.%25ConcordatOf1801')"
"(234, 252, 'freedom of religion', 'bk.%25FreedomofReligion')"
"(303, 308, 'Europe', 'bk.%40Europe')"
"(334, 351, 'defeat at Waterloo', 'bk.tle%3abritishdefeatnapoleonwaterloo')"
"(19, 45, 'April 1, 1815–July 30, 1898', 'date.1815.4.1-1898.7.30')"
"(49, 56, 'Lutheran', 'bk.%25Lutheranism_Belief')"
"(58, 67, 'chancellor', 'bk.#officer')"
"(76, 88, 'German Empire', 'bk.%40GermanEmpire')"
"(91, 119, 'March 21, 1871–March 20, 1890', 'date.1871.3.21-1890.3.20')"
"(130, 140, 'Kulturkampf', 'bk.%25Kulturkampf')"
"(251, 263, 'Pope Leo XIII', 'bio.PopeLeoXIII')"
"(0, 7, 'Pius VII', 'bk.%25PopePiusVII_Person')"
"(10, 18, '1742-1823', 'date.1742-1823')"
"(22, 27, 'bishop', 'bk.%25bishop')"
"(32, 35, 'Rome', 'bk.%25Rome_Place')"
"(38, 46, '1800-1823', 'date.1800-1823')"
"(50, 60, 'Benedictine', 'bk.%25Benedictines_People')"
"(90, 93, '1801', 'date.1801')"
"(226, 239, 'Quum Memoranda', 'bk.%QuumMemoranda_Writing')"
"(365, 368, '1814', 'date.1814')"
"(0, 6, 'Pius IX', 'bk.%25PopePiusIX_Person')"
"(9, 37, 'May 13, 1792–February 7, 1878', 'date.1792.5.13-1878.2.7')"
"(57, 65, '1846–1878', 'date.1846-1878')"
"(95, 104, 'liberalism', 'bk.%25Liberalism_Belief')"
"(147, 158, 'conservatism', 'bk.%25conserve')"
"(174, 194, 'First Vatical Council', 'bk.tle%3afirstvaticancouncil')"
"(242, 252, 'rationalism', 'bk.%25Rationalism')"
"(285, 302, 'Victor Emmanuel II', 'bk.tle%3areignvictoremmanuelii')"
"(400, 415, 'Syllabus Errorum', 'bk.%25SyllabusErrorum_Writing')"
"(488, 501, 'ultramontanism', 'bk.%25Ultramontanism')"
"(0, 12, 'Pope Leo XIII', 'bio.PopeLeoXIII')"
"(15, 41, 'March 2, 1810–July 20, 1903', 'date.1810.3.2-1903.7.20')"
"(61, 69, '1878–1903', 'date.1878-1903')"
"(165, 171, 'Thomism', 'bk.%25Thomism')"
"(209, 221, 'Rerum Novarum', 'bk.%RerumNovarum_Writing')"
"(271, 284, 'social justice', 'bk.%25socialJustice')"
"(344, 364, 'Providentissimus Deus', 'bk.%ProvidentissimusDeus_Writing')"
"(385, 406, 'inerrancy of Scripture', 'bk.%25infallibility')"
"(0, 5, 'Pius X', 'bio.piusx')"
"(8, 16, '1835–1914', 'date.1835-1914')"
"(44, 52, '1903–1914', 'date.1903-1914')"
"(169, 179, 'Lamentabili', 'bk.%25Lamentabili_Writing')"
"(185, 208, 'Pascendi Dominici gregis', 'bk.%PascendiDominiciGregis_Writing')"
"(280, 291, 'Alfred Loisy', 'bk.%25AlfredFirminLoisy_Person')"
"(296, 299, '1908', 'date.1908')"
"(0, 11, 'Pope Pius XI', 'bk.%25PopePiusXI_Person')"
"(14, 22, '1857–1939', 'date.1857-1939')"
"(42, 50, '1922–1939', 'date.1922-1939')"
"(58, 71, 'Lateran Treaty', 'bk.%25LateranTreaty')"
"(112, 123, 'Vatican City', 'bk.%40VaticanCity')"
"(0, 16, 'Joseph De Maistre', 'bk.%25JosephDeMaistre_Person')"
"(19, 49, 'April 1, 1753–February 26, 1821', 'date.1753.4.1-1821.2.26')"
"(69, 77, 'apologist', 'bk.%25Apologists')"
"(166, 179, 'Ultramontanism', 'bk.%25Ultramontanism')"
"(192, 202, 'On the Pope', 'bk.%OnThePope_Writing')"
"(0, 14, 'Pastor Aeternus', 'bk.%25PastorAeternus')"
"(17, 20, '1870', 'date.1870')"
"(41, 85, 'Dogmatic Decrees of the First Vatican Council', 'bk.%25decreesFirstVaticanCouncil_Writing')"
"(0, 10, 'Quanta Cura', 'bk.%25QuantaCura_Writing')"
"(27, 30, '1864', 'date.1864')"
"(131, 146, 'Syllabus Errorum', 'bk.%SyllabusErrorum_Writing')"
"(208, 218, 'rationalism', 'bk.%25Rationalism')"
"(0, 20, 'Providentissimus Deus', 'bk.%25ProvidentissimusDeus_Writing')"
"(38, 41, '1893', 'date.1893')"
"(0, 10, 'Lamentabili', 'bk.%25Lamentabili_Writing')"
"(26, 29, '1901', 'date.1901')"
"(0, 23, 'Pascendi Dominici Gregis', 'bk.%PascendiDominiciGregis_Writing')"
"(39, 42, '1907', 'date.1907')"
"(0, 25, 'The Oath Against Modernism', 'bk.%OathAgainstModernism_Writing')"
"(41, 44, '1910', 'date.1910')"
"(0, 16, 'Concordat of 1801', 'bk.%25ConcordatOf1801')"
"(0, 13, 'Lateran Treaty', 'bk.%25LateranTreaty')"
"(16, 19, '1929', 'date.1929')"
"(70, 77, 'Holy See', 'bk.%25holySee')"
"(90, 105, 'Benito Mussolini', 'bk.tle%3abenitomussoliniprimeminister')"
"(0, 10, 'On the Pope', 'bk.%OnThePope_Writing')"
"(32, 35, '1819', 'date.1819')"
"(0, 36, 'Modernism: Its Failure and Its Fruits', 'bk.%ModernismItsFailuresAndFruits_Writing')"
"(39, 49, 'Maude Petre', 'bio.maudepetre')"
"(52, 55, '1918', 'date.1918')"
"(0, 18, 'Alfred Firmin Loisy', 'bk.%25AlfredFirminLoisy_Person')"
"(21, 50, 'February 28, 1857–June 1, 1940', 'date.1857.2.28-1940.6.1')"
"(61, 74, 'Roman Catholic', 'bk.%25RomanCatholicism_Belief')"
"(95, 101, 'scholar', 'bk.%25scholar')"
"(104, 112, 'professor', 'bk.%25professor')"
"(119, 124, 'priest', 'bk.%23priest')"
"(150, 158, 'Modernist', 'bk.%25Liberalism_Belief')"
"(187, 214, 'Catholic University of Paris', 'bk.%CatholicUniversityOfParis_Place')"
"(234, 251, 'biblical criticism', 'bk.%25biblicalCriticism')"
"(264, 286, 'Autour d’un petit livre', 'bk.%AutourDunPetitLivre_Writing')"
"(292, 312, 'Le Quatrième Évangile', 'bk.%LeQuatriemeEvangile_Writing')"
"(377, 403, 'Index Librorum Prohibitorum', 'bk.%25indexLibrorumProhibitorum_Writing')"
"(424, 437, 'excommunicated', 'bk.%25excommunication')"
"(446, 449, '1908', 'date.1908')"
"(0, 13, 'George Tyrrell', 'bk.%25GeorgeTyrrell_Person')"
"(16, 45, 'February 6, 1861–July 15, 1909', 'date.1861.2.6-1909.7.15')"
"(76, 85, 'theologian', 'bk.%25theologian')"
"(101, 106, 'Jesuit', 'bk.%25Jesuits_People')"
"(108, 113, 'priest', 'bk.%23priest')"
"(134, 144, 'Anglicanism', 'bk.%25Anglicanism_Belief')"
"(179, 191, 'scholasticism', 'bk.%25Scholasticism_Belief')"
"(257, 269, ""Pope Pius X's"", 'bio.piusx')"
"(271, 294, 'Pascendi Dominici Gregis', 'bk.%PascendiDominiciGregis_Writing')"
"(322, 328, 'Jesuits', 'bk.%25Jesuits_People')"
"(333, 336, '1906', 'date.1906')"
"(368, 376, 'Eucharist', 'bk.%25LordsSupper')"
"(0, 10, 'Maude Petre', 'bio.maudepetre')"
