ner_tuple
"(0, 18, 'ChineseChurchGrows', 'bk.tle:ChineseChurchGrows')"
"(70, 75, 'Bishop', 'bk.%25bishop')"
"(80, 87, 'Shanghai', 'bk.%40Shanghai')"
"(102, 129, 'Cultural Revolution in China', 'bk.tle%3aculturalrevolutionchina')"
"(169, 176, 'cardinal', 'bk.%25cardinal')"
"(181, 192, 'John Paul II', 'bio.PopeJohnPaulII')"
"(48, 53, 'Jesuit', 'bk.%25Jesuits_People')"
"(55, 60, 'priest', 'bk.%23priest')"
"(70, 77, 'martyred', 'bk.%23martyr')"
"(58, 66, 'communist', 'bk.%25Communism_Belief')"
"(128, 132, 'China', 'bk.%40China')"
"(0, 7, 'Y. T. Wu', 'bk.%25YTWu_Person')"
"(57, 66, 'Protestant', 'bk.%25Protestantism_Belief')"
"(88, 116, 'Three-Self Patriotic Movement', 'bk.%25ThreeSelfPatrioticMovement')"
"(0, 13, 'Tzu-ch’en Chao', 'bk.%25TzuchenChao_Person')"
"(58, 67, 'theologian', 'bk.%25theologian')"
"(0, 11, 'Watchman Nee', 'bk.%25WatchmanNee_Person')"
"(54, 70, 'indigenous church', 'bk.%25indigenousChurch')"
"(0, 9, 'K. H. Ting', 'bk.%25KHTing_Person')"
"(51, 58, 'Anglican', 'bk.%25Anglicanism_Belief')"
"(18, 30, 'Pope Pius XII', 'bk.%25PopePiusXII_Person')"
"(70, 75, 'Bishop', 'bk.%25bishop')"
"(80, 87, 'Shanghai', 'bk.%40Shanghai')"
"(102, 129, 'Cultural Revolution in China', 'bk.tle%3aculturalrevolutionchina')"
"(169, 176, 'cardinal', 'bk.%25cardinal')"
"(181, 192, 'John Paul II', 'bio.PopeJohnPaulII')"
"(48, 53, 'Jesuit', 'bk.%25Jesuits_People')"
"(55, 60, 'priest', 'bk.%23priest')"
"(70, 77, 'martyred', 'bk.%23martyr')"
"(6, 77, 'People’s Republic of China Is Established by the Chinese Communist Party', 'bk.tle%3apeoplesrepublicchina')"
"(6, 60, 'People’s Republic of China Forces Missionaries to Leave', 'bk.tle%3apeoplesrepublicchinaforces')"
"(6, 29, 'Watchman Nee Is Arrested', 'bk.tle%3awatchmanneearrested')"
"(6, 66, 'China Inland Mission Leaves China Under the People’s Republic', 'bk.tle%3achinainlandmissionleaveschina')"
"(6, 39, 'Persecution of Christians in China', 'bk.tle%3apersecutionchristianschina')"
"(11, 38, 'Cultural Revolution in China', 'bk.tle%3aculturalrevolutionchina')"
"(6, 75, 'Chinese Government Allows Printing of 50,000 New Testaments in Chinese', 'bk.tle%3achinesegovernmentallows')"
"(13, 66, 'Church in China Begins Experiencing Significant Growth', 'bk.tle%3achurchchinabeginsexperiencing')"
"(6, 30, 'Tienanmen Square Protests', 'bk.tle%3atienanmensquareprotests')"
"(6, 60, 'China Christian Council Joins World Council of Churches', 'bk.tle%3achinachristiancounciljoins')"
"(6, 42, 'Many Christians Are Arrested in China', 'bk.tle%3amanychristiansarrestedchina')"
"(6, 35, 'China Study Bible Is Published', 'bk.tle%3achinastudybiblepublished')"
"(6, 54, 'Christian Population in China Grows to 75 Million', 'bk.tle%3achristianpopulationchinagrows')"
"(0, 6, 'Beijing', 'bk.%40Beijing')"
"(0, 4, 'China', 'bk.%40China')"
"(0, 7, 'Shanghai', 'bk.%40Shanghai')"
"(0, 8, 'Communism', 'bk.%25Communism_Belief')"
"(0, 28, 'Three-Self Patriotic Movement', 'bk.%25ThreeSelfPatrioticMovement')"
"(18, 30, 'Pope Pius XII', 'bk.%25PopePiusXII_Person')"
"(57, 117, '""1966–1976 Chinese Church Grows Despite Cultural Revolution.""', 'https://ref.ly/res/LLS:9781585581290/2013-03-04T22:47:41Z/437283?len=6282')"
"(19, 25, '""Asia.""', 'https://ref.ly/res/LLS:WS_0_9016/2021-03-16T19:53:57Z/985401?len=10441')"
"(14, 42, '""Christian Renewal in China.""', 'https://ref.ly/res/LLS:TRNNGPNTSDCSVMM/2013-07-22T19:58:44Z/788436?len=10664')"
"(18, 45, '""Growth in China and Korea.""', 'https://ref.ly/res/LLS:CHRCHHSTPLN5THD/2021-07-09T21:16:17Z/1193451?len=3121')"
"(45, 52, '""China.""', 'https://ref.ly/res/LLS:ZPHCHRHISTV02/2015-08-17T21:49:42Z/1669726?len=4513')"
