ner_tuple
"(0, 19, 'ChristianApologists', 'bk.tle:ChristianApologists')"
"(0, 8, 'Quadratus', 'bk.%25Quadratus_Person')"
"(77, 96, 'Apology of Quadratus', 'bk.%25ApologyOfQuadratus_Writing')"
"(0, 12, 'Justin Martyr', 'bio.JustinMartyr')"
"(68, 74, 'Ephesus', 'bk.%25Ephesus_Place')"
"(131, 150, 'Dialogue with Trypho', 'bk.%25DialogueWithTrypho_Writing')"
"(0, 20, 'Clement of Alexandria', 'bio.ClementAlexandria')"
"(0, 9, 'Tertullian', 'bk.%25Tertullian_Person')"
"(0, 5, 'Origen', 'bio.Origen')"
"(0, 19, 'Dialogue with Trypho', 'bk.%25DialogueWithTrypho_Writing')"
"(0, 8, 'Quadratus', 'bk.%25Quadratus_Person')"
"(77, 96, 'Apology of Quadratus', 'bk.%25ApologyOfQuadratus_Writing')"
"(0, 12, 'Justin Martyr', 'bio.JustinMartyr')"
"(68, 74, 'Ephesus', 'bk.%25Ephesus_Place')"
"(131, 150, 'Dialogue with Trypho', 'bk.%25DialogueWithTrypho_Writing')"
"(0, 20, 'Clement of Alexandria', 'bio.ClementAlexandria')"
"(0, 9, 'Tertullian', 'bk.%25Tertullian_Person')"
"(0, 5, 'Origen', 'bio.Origen')"
"(5, 50, 'Clement of Alexandria Heads Catechitcal School', 'bk.tle%3aclementalexandriaheads')"
"(8, 70, 'Origen Is Given Charge Over the Catechical School in Alexandria', 'bk.tle%3aorigengivenchargeover')"
"(12, 31, 'Origen in Alexandria', 'bk.tle%3aorigenalexandria')"
"(8, 25, 'Origen in Caesarea', 'bk.tle%3aorigencaesarea')"
"(0, 9, 'Alexandria', 'bk.%25Alexandria_Place')"
"(0, 3, 'Rome', 'bk.%25Rome_Place')"
"(0, 10, 'Apologetics', 'bk.%25apologetics')"
"(0, 15, 'Greek Philosophy', 'bk.%25GreekPhilosophy')"
"(0, 6, 'Judaism', 'bk.%25Judaism_Belief')"
"(0, 5, 'Pagans', 'bk.%25pagans')"
"(0, 9, 'Philosophy', 'bk.%25philosophy')"
"(0, 19, 'School of Alexandria', 'bk.%25SchoolofAlexandria')"
"(0, 19, 'Dialogue with Trypho', 'bk.%25DialogueWithTrypho_Writing')"
"(0, 19, 'Dialogue with Trypho', 'bk.%25DialogueWithTrypho_Writing')"
"(20, 53, '""Base Rumors and Lofty Criticism.""', 'https://ref.ly/res/LLS:WS_0_9015/2021-03-11T15:08:10Z/121173?len=24316')"
"(11, 34, '""Clement of Alxeandria.""', 'https://ref.ly/res/LLS:WS_0_9015/2021-03-11T15:08:10Z/185895?len=28639')"
"(18, 91, '""Chapter 8: Apostles to Intellectuals: Interacting with Other Worldviews.""', 'https://ref.ly/res/LLS:CHRCHHSTPLN5THD/2021-07-09T21:16:17Z/207336?len=23414')"
"(18, 53, '""14. The Second-Century Apologists.""', 'https://ref.ly/res/LLS:WS_9FE5F34B7D4849C49972A11A6EC570FC/2021-12-10T21:19:06Z/44395?len=6572')"
"(11, 48, '""15. The Arguments of the Apologists.""', 'https://ref.ly/res/LLS:WS_9FE5F34B7D4849C49972A11A6EC570FC/2021-12-10T21:19:06Z/46305?len=2264')"
"(11, 49, '""16. The Third-Century Church Fathers.""', 'https://ref.ly/res/LLS:WS_9FE5F34B7D4849C49972A11A6EC570FC/2021-12-10T21:19:06Z/48570?len=2397')"
