ner_tuple
"(0, 14, 'Christological', 'bk.tle:Christological')"
"(10, 22, 'Christologies', 'bk.%25christology')"
"(45, 54, 'Antiochene', 'bk.%25Antiochenetheology')"
"(60, 70, 'Alexandrian', 'bk.%25AexandrianTheology')"
"(96, 106, 'theologians', 'bk.%25theologian')"
"(130, 142, ""Jesus' person"", 'lsto.JesusPerson')"
"(148, 155, 'divinity', 'lsto.JesusDivinity')"
"(158, 170, 'mid-100s–500s', 'date.100+100+m-500+100')"
"(83, 97, 'Apollinarianism', 'bk.%25Apollinarianism_Belief')"
"(100, 111, 'Nestorianism', 'bk.%25Nestorianism_Belief')"
"(118, 129, 'Eutychianism', 'bk.%25Eutychianism_Belief')"
"(132, 140, '300s–400s', 'date.300+100-400+100')"
"(44, 49, 'Nicaea', 'bk.tle%3afirstcouncilnicea')"
"(101, 111, 'incarnation', 'bk.%25incarnation')"
"(171, 177, '325–680', 'date.325-680')"
"(50, 55, 'heresy', 'bk.%25heresy')"
"(64, 82, 'ecumenical councils', 'bk.%25ecumenicalCouncil')"
"(85, 91, '325–681', 'date.325-681')"
"(93, 101, '400s–600s', 'date.400+100-600+100')"
"(20, 45, ""the unity of Jesus' person"", 'lsto.JesusUnity')"
"(48, 50, '451', 'date.451')"
"(47, 49, '451', 'date.451')"
"(41, 60, 'Council of Chalcedon', 'bk.tle%3acouncilchalcedon')"
"(89, 91, '451', 'date.451')"
"(45, 47, '680', 'date.680')"
"(0, 22, 'Apollinaris of Laodicea', 'bk.%25ApollinarisOfLaodicea_Person')"
"(28, 30, '382', 'date.382')"
"(15, 22, 'Laodicea', 'bk.%25Laodicea_Place')"
"(64, 87, 'Athanasius of Alexandria', 'bio.AthanasiusAlexandria')"
"(102, 121, 'Alexandrian Theology', 'bk.%25AexandrianTheology')"
"(136, 157, 'Theodore of Mopsuestia', 'bk.%25TheodoreofMopsuestia_Person')"
"(173, 187, 'Apollinarianism', 'bk.%25Apollinarianism_Belief')"
"(255, 259, 'Logos', 'bk.%25Logos')"
"(277, 283, 'heretic', 'bk.%25heretic')"
"(292, 322, 'First Council of Constantinople', 'bk.tle%3afirstcouncilconstantinople')"
"(0, 18, 'Cyril of Alexandria', 'bio.CyrilAlexandria')"
"(21, 27, '376-444', 'date.376-444')"
"(31, 39, 'patriarch', 'bk.%patriarchOrthodox')"
"(56, 62, '412–444', 'date.412-444')"
"(66, 84, 'Greek church father', 'bk.%GreekChurchFathers_People')"
"(97, 132, 'Theophilus (patriarch of Alexandria)', 'bk.%25Theophilus.2_Person')"
"(194, 208, 'John Chrysostom', 'bio.JohnChrysostom.1')"
"(211, 232, 'Theodore of Mopsuestia', 'bk.%25TheodoreofMopsuestia_Person')"
"(239, 247, 'Nestorius', 'bk.%25Nestorius_Person')"
"(282, 303, 'Mary (Mother of Jesus)', 'bk.%23Mary.1')"
"(319, 342, 'First Council of Ephesus', 'bk.tle%3afirstcouncilephesus')"
"(413, 425, 'Theodosius II', 'bk.%25TheodosiusII_Person')"
"(457, 481, 'Second Council of Ephesus', 'bk.tle%3asecondcouncilephesus')"
"(494, 522, 'Epistle of Cyril to Nestorius', 'bk.%EpistleOfCyrilToNestorius_Writing')"
"(528, 574, 'The Twelve Anathemas of Cyril Against Nestorius', 'bk.%TwelveAnathemasOfCyril_Writing')"
"(591, 602, 'Nestorianism', 'bk.%25Nestorianism_Belief')"
"(0, 7, 'Eutyches', 'bk.%25Eutyches_Person')"
"(10, 16, '378-454', 'date.378-454')"
"(20, 32, 'archimandrite', 'bk.%25archimandrite')"
"(39, 52, 'Constantinople', 'bk.@Constantinople')"
"(66, 77, 'Eutychianism', 'bk.%25Eutychianism_Belief')"
"(90, 102, 'Monophysitism', 'bk.%25Monophysitism_Belief')"
"(256, 275, 'Council of Chalcedon', 'bk.tle%3acouncilchalcedon')"
"(0, 16, 'Diodore of Tarsus', 'bk.%25Diodore_Person')"
"(22, 27, 'c. 394', 'date.394+c')"
"(11, 16, 'Tarsus', 'bk.%25Tarsus_Place')"
"(130, 149, 'Alexandrian Theology', 'bk.%25AexandrianTheology')"
"(212, 219, 'Arianism', 'bk.%25Arianism_Belief')"
"(225, 239, 'Apollinarianism', 'bk.%25Apollinarianism_Belief')"
"(252, 266, 'John Chrysostom', 'bio.JohnChrysostom.1')"
"(309, 339, 'First Council of Constantinople', 'bk.tle%3afirstcouncilconstantinople')"
"(0, 21, 'Theodore of Mopsuestia', 'bk.%25TheodoreofMopsuestia_Person')"
"(24, 30, '350–428', 'date.350-428')"
