ner_tuple
"(0, 24, 'DevelopmentBlackChurches', 'bk.tle:DevelopmentBlackChurches')"
"(21, 32, 'Christianity', 'bk.%Christianity_Belief')"
"(140, 159, 'late 1700s–mid-1800s', 'date.1700+100+l-1800+100+m')"
"(48, 60, 'denominations', 'bk.%Denominations')"
"(94, 104, 'early 1800s', 'date.1800+100+e')"
"(91, 106, 'gospel preaching', 'bk.%preaching')"
"(112, 118, 'worship', 'bk.%worship')"
"(134, 145, 'emancipation', 'lco.Emancipation')"
"(148, 170, 'first half of the 1800s', 'date.1800+50')"
"(86, 109, 'second half of the 1800s', 'date.1850+50')"
"(0, 11, 'Emancipation', 'bk.tle:abrahamlincolngives')"
"(21, 35, 'Great Migration', 'bk.tle:blackamericansmoveoutsouthernusgreatmigration')"
"(176, 189, 'fundamentalist', 'bk.%Fundamentalism_Belief')"
"(206, 214, '1863–1970', 'date.1863-1970')"
"(18, 25, 'Jim Crow', 'bk.tle:jimcroweraunitedstates')"
"(176, 190, 'c. 1877–c. 1950', 'date.1877+c-1950+c')"
"(79, 99, 'Civil Rights Movement', 'bk.tle:civilrightsmovement')"
"(106, 116, 'non-violent', 'bk.%nonviolence')"
"(148, 156, '1954-1968', 'date.1954-1968')"
"(6, 24, 'liberation theology', 'bk.%LiberationTheology_Belief')"
"(37, 40, '1969', 'date.1969')"
"(102, 110, '1968–2022', 'date.1968-2022')"
"(0, 11, 'George Liele', 'bk.%25GeorgeLiele_Person')"
"(14, 22, '1750-1820', 'date.1750-1820')"
"(41, 47, 'Baptist', 'bk.%Baptists')"
"(49, 54, 'pastor', 'bk.%pastor')"
"(60, 69, 'missionary', 'bk.%evangelist')"
"(83, 108, 'First Bryan Baptist Church', 'bk.%FirstBryanBaptistChurch_Place')"
"(114, 141, 'First African Baptist Church', 'bk.%FirstAfricanBaptistChurchSavannah_Place')"
"(146, 162, 'Savannah, Georgia', 'bk.%25Savannah_Place')"
"(203, 215, 'North America', 'bk.@NorthAmerica')"
"(242, 248, 'Jamaica', 'bk.@Jamaica')"
"(0, 12, 'Richard Allen', 'bk.%25RichardAllen_Person')"
"(15, 23, '1760-1831', 'date.1760-1831')"
"(42, 47, 'bishop', 'bk.%bishop')"
"(68, 107, 'African Methodist Episcopal Church (AME)', 'bk.%AfricanMethodistEpiscopalChurch_Denom')"
"(142, 161, 'Free African Society', 'bk.%FreeAfricanScoeity')"
"(173, 196, 'Mother Bethel AME Church', 'bk.%MotherBethelAME_Place')"
"(254, 323, 'The Life, Experience, and Gospel Labours of the Rt. Rev. Richard Allen', 'bk.%LifeOfRichardAllen_Writing')"
"(0, 21, 'Daniel Alexander Payne', 'bio.danielalexanderpayne_1')"
"(24, 57, 'February 24, 1811–November 2, 1893', 'date.1811.2.24-1893.11.2')"
"(184, 202, 'Wilberforce College', 'bk.%WilberforceCollege_Place')"
"(207, 210, 'Ohio', 'bk.@Ohio')"
"(0, 16, 'Reverdy C. Ransom', 'bio.reverdycransom')"
"(19, 48, 'January 4, 1861–April 22, 1959', 'date.1861.1.4-1959.4.22')"
"(123, 141, 'Christian socialist', 'bk.%ChristianSocialism')"
"(147, 158, 'civil rights', 'bk.%civilLawAndJustice')"
"(191, 206, 'Niagara Movement', 'bk.tle:niagaramovement')"
"(229, 294, 'National Association for the Advancement of Colored People (NAACP)', 'bk.%NAACP')"
"(0, 21, 'William Joseph Seymour', 'bk.%25WilliamJosephSeymour_Person')"
"(24, 32, '1870–1922', 'date.1870-1922')"
"(51, 58, 'Holiness', 'bk.%25HolinessMovement')"
"(73, 83, 'Pentecostal', 'bk.%25Pentecostal_Belief')"
"(111, 130, 'Azusa Street Revival', 'bk.tle%3aazusastreetrevival')"
"(147, 176, 'Apostolic Faith Gospel Mission', 'bk.%ApostolicFaithGospelMission_Place')"
"(181, 191, 'Los Angeles', 'bk.%40LosAngeles')"
"(205, 223, 'The Apostolic Faith', 'bk.%TheApostolicFaithNewspaper_Writing')"
"(0, 21, 'Nannie Helen Burroughs', 'bio.nanniehelenburroughs')"
"(24, 47, 'May 2, 1879–May 20, 1961', 'date.1879.5.2-1961.5.20')"
"(209, 247, ""Women's Convention Auxiliary to the NBC"", 'bk.%WomensConventionAuxiliaryNBC')"
"(276, 318, '“How the Sisters Are Hindered from Helping”', 'bk.%HowTheSistersAreHindered_Writing')"
"(327, 358, '1900 National Baptist Convention', 'bk.tle:nationalbaptistconventionisheldrichmond')"
"(377, 420, 'National Training School for Women and Girls', 'bk.%NationalTrainingSchoolForWomenAndGirls')"
"(0, 13, 'Howard Thurman', 'bio.howardthurman')"
"(16, 24, '1899-1981', 'date.1899-1981')"
"(43, 52, 'theologian', 'bk.%theologian')"
"(95, 111, 'Morehouse College', 'bk.%MorehouseCollege_Place')"
"(145, 170, 'Jesus and the Disinherited', 'bk.%JesusAndTheDisinherited_Writing')"
"(247, 286, 'Church for the Fellowship of All Peoples', 'bk.%ChurchForTheFellowshipOfAllPeoples_Place')"
"(291, 303, 'San Francisco', 'bk.%40SanFrancisco')"
"(0, 14, 'Mahalia Jackson', 'bio.mahaliajackson')"
"(17, 25, '1911-1972', 'date.1911-1972')"
"(144, 150, 'worship', 'bk.%worship')"
"(196, 216, 'Civil Rights Movement', 'bk.tle:civilrightsmovement')"
"(0, 21, 'Martin Luther King Jr.', 'bio.MartinLutherKingJr')"
"(24, 53, 'January 15, 1929–April 4, 1968', 'date.1929.1.15-1968.4.4')"
"(72, 78, 'Baptist', 'bk.%25Baptists')"
"(159, 171, 'United States', 'bk.%40UnitedStates')"
"(226, 249, 'Civil Rights Act of 1964', 'bk.%CivilRightsAct1964_Writing')"
"(259, 283, 'Voting Rights Act of 1965', 'bk.%VotingRightsAct1965_Writing')"
