ner_tuple
"(0, 10, 'Ideologies', 'bk.tle:Ideologies')"
"(0, 7, 'Religion', 'bk.%25religion')"
"(98, 108, '1800s–1900s', 'date.1800+100-1900+100')"
"(0, 10, 'Nationalism', 'bk.%25nationalism')"
"(29, 40, 'totalitarian', 'bk.%25Totalitarianism')"
"(76, 94, 'national identities', 'lco.National_pride')"
"(97, 118, 'late 1800s–early 1900s', 'date.1800+100+l-1900+100+e')"
"(29, 39, 'segregation', 'bk.%segregation')"
"(48, 60, 'United States', 'bk.@UnitedStates')"
"(63, 82, 'late 1800s–mid-1900s', 'date.1800+100+l-1900+100+m')"
"(30, 35, 'ethics', 'bk.%25ethics')"
"(103, 107, '1900s', 'date.1900+100')"
"(0, 10, 'World War I', 'bk.tle:worldwari')"
"(62, 71, '1914--1918', 'date.1914-1918')"
"(4, 21, 'Russian Revolution', 'bk.tle:russianrevolution')"
"(35, 57, 'Russian Orthodox Church', 'bk.tle:RussianOrthodox')"
"(104, 112, '1917–1923', 'date.1917-1923')"
"(0, 8, 'Communism', 'bk.%Communism_Belief')"
"(23, 28, 'Russia', 'bk.@Russia')"
"(31, 39, '1917–1989', 'date.1917-1989')"
"(0, 5, 'Nazism', 'bk.%nazism_Belief')"
"(20, 26, 'Germany', 'bk.@Germany')"
"(29, 37, '1918–1945', 'date.1918-1945')"
"(0, 12, 'Anti-Semitism', 'bk.%25AntiSemitism')"
"(33, 38, 'Europe', 'bk.@Europe')"
"(41, 49, '1918–1945', 'date.1918-1945')"
"(0, 6, 'Fascism', 'bk.%fascism_Belief')"
"(21, 25, 'Italy', 'bk.%Italy_Place')"
"(28, 32, '1930s', 'date.1930+10')"
"(0, 11, 'World War II', 'bk.tle:worldwarii')"
"(56, 64, '1939–1945', 'date.1939-1945')"
"(39, 47, '1934–1948', 'date.1934-1948')"
"(116, 124, '1945–1989', 'date.1945-1989')"
"(44, 51, 'Cold War', 'bk.tle:coldwar')"
"(83, 91, '1945–1990', 'date.1945-1990')"
"(55, 63, '1948–1990', 'date.1948-1990')"
"(4, 24, 'Civil Rights Movement', 'bk.tle%3acivilrightsmovement')"
"(122, 134, 'United States', 'bk.%40UnitedStates')"
"(137, 145, '1954–1968', 'date.1954-1968')"
"(12, 16, 'China', 'bk.@China')"
"(61, 79, 'Cultural Revolution', 'bk.tle:culturalrevolutionchina')"
"(82, 90, '1966–1969', 'date.1966-1969')"
"(0, 13, 'Nelson Mandela', 'bio.nelsonmandela_1')"
"(16, 45, 'July 18, 1918–December 5, 2013', 'date.1918.7.18-2013.12.5')"
"(69, 77, 'Methodist', 'bk.%25Methodism_Belief')"
"(79, 90, 'civil rights', 'bk.%25civilLawAndJustice')"
"(147, 155, 'president', 'bk.%25president')"
"(199, 207, 'Apartheid', 'bk.tle:apartheidbeginssouthafrica')"
"(55, 66, 'South Africa', 'bk.%SouthAfrica_Place')"
"(0, 21, 'Martin Luther King Jr.', 'bio.MartinLutherKingJr')"
"(24, 53, 'January 15, 1929–April 4, 1968', 'date.1929.1.15-1968.4.4')"
"(72, 78, 'Baptist', 'bk.%25Baptists')"
"(130, 150, 'Civil Rights Movement', 'bk.tle%3acivilrightsmovement')"
"(159, 171, 'United States', 'bk.%40UnitedStates')"
"(193, 217, 'Civil Rights Acts of 1964', 'bk.%CivilRightsAct1964_Writing')"
"(227, 251, 'Voting Rights Act of 1965', 'bk.%VotingRightsAct1965_Writing')"
"(264, 292, '""Letter from Birmingham Jail""', 'bk.%LetterFromBirminghamJail_Writing')"
"(0, 17, 'Desmond Mpilo Tutu', 'bk.%25DesmondMpiloTutu_Person')"
"(20, 52, 'October 7, 1931–December 26, 2021', 'date.1931.10.7-2021.12.26')"
"(56, 63, 'Anglican', 'bk.%25Anglicanism_Belief')"
"(65, 74, 'archbishop', 'bk.%25archbishop')"
"(79, 87, 'Cape Town', 'bk.@CapeTownSouthAfrica')"
"(162, 196, 'Truth and Reconciliation Commission', 'bk.%TruthAndReconciliationCommision')"
"(0, 11, 'Pope Pius XI', 'bk.%25PopePiusXI_Person')"
"(14, 22, '1857–1939', 'date.1857-1939')"
"(26, 29, 'pope', 'bk.%pope')"
"(35, 40, 'bishop', 'bk.%bishop')"
"(45, 48, 'Rome', 'bk.@Rome')"
"(51, 59, '1922–1939', 'date.1922-1939')"
"(67, 91, 'Lateran Treaty was signed', 'bk.tle%3alaterantreatysigned')"
"(100, 109, 'his papacy', 'bk.tle:papacypiusxibegins')"
"(121, 132, 'Vatican City', 'bk.%40VaticanCity')"
"(175, 179, 'Italy', 'bk.%25Italy_Place')"
"(293, 312, 'Mit Brennender Sorge', 'bk.%MitbrennenderSorge')"
"(345, 362, 'Divini Redemptoris', 'bk.%DiviniRedemptoris_Writing')"
"(0, 9, 'Karl Barth', 'bk.%25KarlBarth_Person')"
"(12, 41, 'May 10, 1886–December 10, 1968', 'date.1886.5.10-1968.12.10')"
"(51, 58, 'Reformed', 'bk.%25ReformedGroup_Denom')"
"(209, 217, 'Göttingen', 'bk.%UniversityOfGottingen_Place')"
"(223, 229, 'Münster', 'bk.%UniversityOfMunster_Place')"
"(305, 321, 'Confessing Church', 'bk.%25ConfessingChurch')"
"(0, 18, 'Dietrich Bonhoeffer', 'bio.DietrichBonhoeffer')"
"(21, 50, 'February 4, 1906–April 9, 1945', 'date.1906.2.4-1945.4.9')"
"(194, 208, 'he was executed', 'bk.tle%3amartyrdomdietrichbonhoeffer')"
"(302, 325, 'The Cost of Discipleship', 'bk.%TheCostOfDiscipleship_Writing')"
"(0, 15, 'Reinhold Niebuhr', 'bk.%25ReinholdNiebuhr_Person')"
"(18, 43, 'June 21, 1892–June 1, 1971', 'date.1892.6.21-1971.6.1')"
"(142, 160, 'Christian socialism', 'bk.%25ChristianSocialism')"
"(177, 214, 'The Fellowship of Socialist Christians', 'bk.%FellowshipOfSocialistChristians')"
"(227, 243, 'Christian realism', 'bk.%25Realism_Belief')"
"(333, 361, 'Moral Man and Immoral Society', 'bk.%MoralManAndImmoralSociety_Writing')"
"(0, 21, 'Helmut Richard Niebuhr', 'bk.%25HelmutRichardNiebuhr_Person')"
"(24, 52, 'September 3, 1894–Jul 5, 1962', 'date.1894.9.3-1962.7.5')"
"(93, 100, 'ethicist', 'bk.%25ethics')"
"(145, 164, 'Yale Divinity School', 'bk.%YaleDivinitySchool_Place')"
"(196, 210, 'Ernst Troeltsch', 'bk.%25ErnstTroeltsch_Person')"
"(223, 240, 'Christ and Culture', 'bk.%ChristAndCulture_Writing')"
"(0, 11, 'Paul Tillich', 'bk.%25PaulTillich_Person')"
"(14, 22, '1896–1965', 'date.1896-1965')"
"(90, 113, 'Christian existentialism', 'bk.%25existentialism')"
"(196, 200, 'Halle', 'bk.%UniversityOfHalle_Place')"
"(246, 254, 'Frankfurt', 'bk.%UniversityOfFrankfurt_Place')"
"(257, 282, 'Union Theological Seminary', 'bk.%UnionTheologicalSeminary')"
"(285, 307, 'Harvard Divinity School', 'bk.%HarvardDivinitySeminary_Place')"
"(318, 338, 'University of Chicago', 'bk.%UniversityOfChicago_Place')"
"(351, 372, 'The Socialist Decision', 'bk.%TheSocialistDecision_Writing')"
"(457, 475, 'Systematic Theology', 'bk.%TillichSystematicTheology_Writing')"
"(0, 16, 'John Howard Yoder', 'bk.%25JohnHowardYoder_Person')"
"(23, 31, '1927–1997', 'date.1927-1997')"
"(44, 52, 'Mennonite', 'bk.%Mennonites_People')"
"(97, 115, 'University of Basel', 'bk.%UniversityOfBasel_Place')"
"(135, 158, 'University of Notre Dame', 'bk.%UniversityOfNotreDame')"
"(171, 191, 'The Politics of Jesus', 'bk.%PoliticsOfJesus_Writing')"
"(0, 13, 'Vladimir Lenin', 'bio.vladimirlenin_1')"
"(16, 46, 'April 22, 1870–January 21, 1924', 'date.1870.4.22-1924.1.21')"
"(92, 109, 'Russian Revolution', 'bk.tle%3arussianrevolution')"
"(166, 177, 'Soviet Union', 'bk.%40USSR')"
"(254, 260, 'Marxism', 'bk.%25Marxism_Belief')"
"(277, 284, 'Leninism', 'bk.%Leninism_Belief')"
"(0, 12, 'Joseph Stalin', 'bio.josephstalin')"
"(15, 45, 'December 18, 1878–March 5, 1953', 'date.1878.12.18-1953.3.5')"
"(179, 194, 'Marxism-Leninism', 'bk.%MarxismLeninism_Belief')"
"(200, 208, 'Stalinism', 'bk.%Stalinism_Belief')"
"(0, 15, 'Benito Mussolini', 'bio.benitomussolini_1')"
"(18, 45, 'July 29, 1883–April 28, 1945', 'date.1883.7.29-1945.4.28')"
"(67, 71, 'Italy', 'bk.%25Italy_Place')"
"(74, 82, '1922–1943', 'date.1922-1943')"
"(139, 152, 'Lateran Treaty', 'bk.%25LateranTreaty')"
"(0, 11, 'Adolf Hitler', 'bk.%25AdolfHitler_Person')"
"(14, 42, 'April 20, 1889–April 30, 1945', 'date.1889.4.20-1945.4.30')"
"(162, 179, 'invasion of Poland', 'bk.tle%3anazigermanyinvades')"
"(192, 201, 'Mein Kampf', 'bk.%MeinKampf_Writing')"
"(0, 9, 'Mao Zedong', 'bio.chairmanmaozedong_1')"
"(12, 46, 'December 26, 1893–September 9, 1976', 'date.1893.12.26-1976.9.9')"
