ner_tuple
"(0, 11, 'Monasticism', 'bk.tle:Monasticism')"
"(10, 16, 'hermits', 'bk.%25hermit')"
"(42, 51, 'wilderness', 'bk.%25wilderness')"
"(54, 57, '200s', 'date.200+100')"
"(10, 20, 'monasteries', 'bk.%25monastery')"
"(70, 74, 'monks', 'bk.%monkReligiousBrother')"
"(80, 83, 'nuns', 'bk.%25monkNun')"
"(86, 89, '300s', 'date.300+100')"
"(0, 11, 'Christianity', 'bk.%25Christianity_Belief')"
"(49, 60, 'Roman Empire', 'bk.%25RomanEmpire')"
"(63, 66, '300s', 'date.300+100')"
"(59, 71, 'monastic life', 'bk.%25monasticism')"
"(74, 82, '300s–500s', 'date.300+100-500+100')"
"(0, 9, 'Missionary', 'bk.%25mission')"
"(136, 144, '300s–500s', 'date.300+100-500+100')"
"(0, 25, 'Desert Fathers and Mothers', 'bk.%25DesertFathers_People')"
"(28, 50, 'third--fourth centuries', 'date.201+100-301+100')"
"(63, 70, 'ascetics', 'lco.Prophets_and_ascetics')"
"(96, 100, 'Egypt', 'bk.%25Egypt_Place')"
"(148, 180, 'The Sayings of the Desert Fathers', 'bk.%SayingsOfTheDesertFathers_Writing')"
"(0, 13, 'Paul of Thebes', 'bk.%SaintPaulofThebes_Person')"
"(16, 25, 'c. 227–340', 'date.227+c-340+c')"
"(60, 66, 'ascetic', 'lco.Prophets_and_ascetics')"
"(103, 107, 'Egypt', 'bk.%25Egypt_Place')"
"(121, 155, 'The Life of Paulus the First Hermit', 'bk.%LifeOfPaulus_Writing')"
"(160, 165, 'Jerome', 'bk.%25Jerome_Person')"
"(0, 15, 'Anthony of Egypt', 'bio.AnthonyEgypt')"
"(18, 24, '251–356', 'date.251-356')"
"(35, 40, 'hermit', 'bk.%25hermit')"
"(77, 81, 'monks', 'bk.%25monkNun')"
"(96, 109, 'Desert Fathers', 'bk.%25DesertFathers_People')"
"(215, 229, 'Life of Anthony', 'bk.%LifeOfAnthony_Writing')"
"(0, 8, 'Pachomius', 'bk.%25SaintPachomius_Person')"
"(11, 17, '287–346', 'date.287-346')"
"(77, 85, 'Tabennisi', 'bk.%25Tabennisi_Place')"
"(0, 23, 'Syncletica of Alexandria', 'bio.SyncleticaOfAlexandria')"
"(26, 39, 'fourth century', 'date.301+100')"
"(61, 69, 'anchoress', 'bk.%25anchorite')"
"(0, 16, 'Basil of Caesarea', 'bio.BasilCaesarea')"
"(19, 25, '330–379', 'date.330-379')"
"(29, 34, 'bishop', 'bk.%25bishop')"
"(9, 16, 'Caesarea', 'bk.%25Caesarea_Place')"
"(286, 308, 'The Rule of Saint Basil', 'bk.%RuleOfSaintBasil_Writing')"
"(336, 344, 'Basilians', 'bk.%25Basilians_People')"
"(0, 18, 'Macrina the Younger', 'bk.%25SaintMacrina_Person')"
"(21, 30, 'c. 327–379', 'date.327+c-379')"
"(34, 36, 'nun', 'bk.%25monkNun')"
"(112, 117, 'Pontus', 'bk.%25Pontus_Place')"
"(166, 180, 'Life of Macrina', 'bk.%LifeOfMacrina_Writing')"
"(216, 231, 'Gregory of Nyssa', 'bk.%25SaintGregoryOfNyssa_Person')"
"(0, 14, 'Martin of Tours', 'bio.MartinTours')"
"(17, 35, '335–November 8, 397', 'date.335-397.11.8')"
"(10, 14, 'Tours', 'bk.%40Tours')"
"(119, 136, 'Hilary of Poitiers', 'bio.HilaryPoitiers')"
"(165, 170, 'Ligugé', 'bk.%25Liguge_Place')"
"(184, 208, 'On the Life of St. Martin', 'bk.%LifeOfStMartin_Writing')"
