ner_tuple
"(0, 9, 'Orthodoxy', 'bk.tle:Orthodoxy')"
"(31, 37, 'liturgy', 'bk.%25liturgy')"
"(43, 52, 'sacraments', 'bk.%25sacraments')"
"(55, 74, 'first–second century', 'date.1+100-101+100')"
"(0, 6, 'Bishops', 'bk.%25bishop')"
"(72, 91, 'first–fourth century', 'date.1+100-301+100')"
"(0, 35, 'Early creeds developed in the church', 'bk.tle%3aearlycreedsdevelopchurch')"
"(124, 127, '100s', 'date.100+100')"
"(16, 23, 'theology', 'bk.%25theology')"
"(71, 80, 'worldviews', 'bk.%25worldview')"
"(83, 91, '100s–200s', 'date.100+100-200+100')"
"(28, 35, 'heresies', 'bk.%25heresy')"
"(69, 76, 'orthodox', 'bk.%25Orthodoxy')"
"(92, 100, '100s–300s', 'date.100+100-300+100')"
"(21, 28, 'apostles', 'bk.%25apostle')"
"(57, 69, 'Rule of Faith', 'bk.%25ruleOfFaith')"
"(72, 78, '180–325', 'date.180-325')"
"(4, 22, 'New Testament canon', 'bk.%25newTestamentCanon')"
"(104, 111, 'mid-300s', 'date.300+100+m')"
"(0, 18, 'Ignatius of Antioch', 'bio.IgnatiusAntioch.1')"
"(21, 26, '50–110', 'date.50-110')"
"(30, 35, 'bishop', 'bk.%25bishop')"
"(40, 53, 'Syrian Antioch', 'bk.%25AntiochOfSyria_Place')"
"(66, 102, 'Epistle of Ignatius to the Smyrnaeans', 'bk.%ignatiusSmyrnaeans_Writing')"
"(156, 165, '""catholic""', 'bk.%25catholic.universal')"
"(0, 19, 'Papias of Hierapolis', 'bio.PapiasHierapolis')"
"(22, 27, '60-130', 'date.60-130')"
"(10, 19, 'Hierapolis', 'bk.@Hierapolis')"
"(69, 84, 'John the apostle', 'bk.%23John')"
"(97, 115, 'Fragments of Papias', 'bk.%FragmentsOfPapias_Writing')"
"(163, 169, 'Gospels', 'bk.%25Gospels_Writing')"
"(0, 9, 'Saturninus', 'bk.%25Saturninus_Person')"
"(12, 25, 'second century', 'date.101+100')"
"(65, 72, 'Menander', 'bk.%25Menander.10_Person')"
"(97, 107, 'Simon Magus', 'bk.%25SimonMagus_Person')"
"(149, 164, 'Against Heresies', 'bk.%AgainstHeresies_Writing')"
"(0, 9, 'Valentinus', 'bk.%25Valentinus_Person')"
"(12, 25, 'second century', 'date.101+100')"
"(44, 59, 'Valentinian sect', 'bk.%25Valentinians_People')"
"(0, 3, 'Mani', 'bk.%25Mani.2_Person')"
