ner_tuple
"(0, 10, 'Persecuted', 'bk.tle:Persecuted')"
"(0, 42, 'Christianity spread across the Roman Empire', 'bk.tle%3achristianityspreadsquickly2')"
"(52, 73, 'periods of persecution', 'bk.tle%3apersecutionchristiansroman1')"
"(96, 101, '64–312', 'date.64-312')"
"(0, 11, 'Christianity', 'bk.%25Christianity_Belief')"
"(56, 62, 'Judaism', 'bk.%25Judaism_Belief')"
"(65, 82, 'late first century', 'date.1+100+l')"
"(38, 42, 'pagan', 'bk.%25pagans')"
"(44, 53, 'sacrifices', 'bk.%25sacrifice')"
"(56, 73, 'late first century', 'date.1+100+l')"
"(90, 93, 'Rome', 'bk.%25RomanEmpire')"
"(96, 113, 'late first century', 'date.1+100+l')"
"(27, 33, 'atheism', 'bk.%25atheism')"
"(36, 46, 'cannibalism', 'bk.%25cannibalism')"
"(53, 58, 'incest', 'bk.%25incest')"
"(111, 125, '100s–early 300s', 'date.100+100-300+100+e')"
"(5, 14, 'apologetic', 'bk.%25apologetics')"
"(62, 76, '100s–early 300s', 'date.100+100-300+100+e')"
"(36, 52, 'lapsed Christians', 'bk.%25Lapsi')"
"(61, 67, 'schisms', 'bk.%25schism')"
"(88, 102, '200s–early 400s', 'date.200+100-400+100+e')"
"(0, 10, 'Persecution', 'bk.%25persecution')"
"(84, 90, '250-311', 'date.250-311')"
"(0, 7, 'Emperors', 'bk.%25emperor')"
"(74, 76, '250', 'date.250')"
"(36, 49, 'Roman military', 'bk.%25romanArmy')"
"(52, 58, '303–311', 'date.303-311')"
"(0, 7, 'Churches', 'bk.%25Church')"
"(101, 107, '303–311', 'date.303-311')"
"(64, 66, '311', 'date.311')"
"(0, 9, 'Tertullian', 'bk.%25Tertullian_Person')"
"(12, 21, 'c. 160–230', 'date.160+c-230')"
"(33, 41, 'apologist', 'bk.%25Apologists')"
"(47, 65, 'Latin church father', 'bk.%LatinChurchFathers_People')"
"(172, 196, 'The Apology of Tertullian', 'bk.%TheApologyOfTertullian_Writing')"
"(199, 212, 'To the Nations', 'bk.%ToTheNations_Writing')"
"(219, 232, 'To the Martyrs', 'bk.%ToTheMartyrs_Writing')"
"(0, 9, 'Lactantius', 'bk.%25Lactantius_Person')"
"(12, 18, '240–320', 'date.240-320')"
"(32, 40, 'apologist', 'bk.%25Apologists')"
"(94, 103, 'Diocletian', 'bio.Diocletian')"
"(116, 140, 'Death of the Persecutors,', 'bk.%DeathOfThePersecutors_Writing')"
"(272, 296, 'conversion of Constantine', 'bk.tle%3aconstantineconverts')"
"(0, 3, 'Nero', 'bk.%23Nero')"
"(6, 10, '37–68', 'date.37-68')"
"(14, 20, 'emperor', 'bk.%25emperor')"
"(25, 28, 'Rome', 'bk.%25Rome_Place')"
"(31, 35, '54–68', 'date.54-68')"
"(49, 61, 'fire in Rome,', 'bk.tle%3afirerome')"
"(0, 7, 'Domitian', 'bk.%25EmperorDomitian_Person')"
"(10, 14, '51–96', 'date.51-96')"
"(35, 39, '81–96', 'date.81-96')"
"(164, 167, 'John', 'bio.johnpatmos')"
"(172, 177, 'Patmos', 'bk.%25Patmos_Place')"
"(0, 5, 'Trajan', 'bk.%25EmperorTrajan_Person')"
"(8, 13, '53–117', 'date.53-117')"
"(34, 39, '98–117', 'date.98-117')"
"(70, 74, 'Pliny', 'bio.plinyyounger')"
"(0, 6, 'Hadrian', 'bk.%25EmperorHadrian_Person')"
"(9, 14, '76–138', 'date.76-138')"
"(35, 42, '117--138', 'date.117-138')"
"(0, 13, 'Antoninus Pius', 'bk.%25AntoninusPius_Person')"
"(16, 21, '86–161', 'date.86-161')"
"(42, 49, '138--161', 'date.138-161')"
"(53, 60, 'Polycarp', 'bk.%25Polycarp_Person')"
"(106, 135, 'First Apology of Justin Martyr', 'bk.%FirstApologyJustinMartyr_Writing')"
"(0, 14, 'Marcus Aurelius', 'bio.MarcusAurelius')"
"(17, 23, '121–180', 'date.121-180')"
"(44, 51, '161--180', 'date.161-180')"
"(178, 190, 'Justin Martyr', 'bk.%25JustinMartyr_Person')"
"(212, 221, 'his reign,', 'bk.tle%3areignmarcusaureliusrome')"
"(0, 16, 'Septimius Severus', 'bk.%25SeptimiusSeverus_Person')"
"(19, 25, '145–211', 'date.145-211')"
"(46, 52, '193–211', 'date.193-211')"
"(103, 112, 'his reign,', 'bk.tle%3areignseptimiusseverusrome')"
"(124, 131, 'Perpetua', 'bio.vibiaperpetua_1')"
"(148, 155, 'Leonides', 'bk.%25Leonides.1_Person')"
"(0, 5, 'Decius', 'bio.Decius')"
"(8, 14, '201–251', 'date.201-251')"
"(35, 41, '249–251', 'date.249-251')"
"(109, 112, 'gods', 'bk.%25deity')"
"(164, 187, 'persecution under Decius', 'bk.tle%3apersecutionchristiansunder1')"
"(0, 7, 'Valerian', 'bk.%25Valerian.1_Person')"
"(10, 19, 'c. 200–260', 'date.200+c-260')"
"(40, 46, '253–260', 'date.253-260')"
"(0, 9, 'Diocletian', 'bio.Diocletian')"
"(12, 18, '245–311', 'date.245-311')"
"(39, 45, '284–305', 'date.284-305')"
"(52, 68, 'Great Persecution', 'bk.tle%3apersecutionchristiansunder2')"
"(137, 146, 'his reign,', 'bk.tle%3areigndiocletianrome')"
"(43, 45, '305', 'date.305')"
"(0, 7, 'Galerius', 'bk.%25Galerius_Person')"
"(10, 16, '260–311', 'date.260-311')"
"(49, 55, '305–311', 'date.305-311')"
"(133, 151, 'Edict of Toleration', 'bk.tle%3aedicttolerationenactedroman')"
"(198, 211, 'religio licita', 'bk.%25religioLicita')"
"(0, 4, 'Peter', 'bk.%23Peter')"
"(10, 14, 'c. 64', 'date.64+c')"
"(39, 45, 'apostle', 'bk.%25apostle')"
"(99, 115, 'Epistles of Peter', 'bk.%25EpistlesofSaintPeter')"
"(124, 136, 'New Testament', 'bk.%25NewTestament_Writing')"
"(152, 159, 'Eusebius', 'bio.EusebiusCaesarea')"
"(192, 211, 'Neronian persecution', 'bk.tle%3apersecutionchristiansundernero')"
"(0, 3, 'Paul', 'bk.%23Paul')"
"(6, 13, 'c. 10–67', 'date.10+c-67')"
"(39, 46, 'gentiles', 'bk.%23Gentiles')"
"(68, 77, 'missionary', 'bk.%25evangelist')"
"(97, 107, 'conversion,', 'bk.*PaulConversion')"
"(152, 167, 'Pauline Epistles', 'bk.%25PaulsLetters_Writting')"
"(206, 218, 'book of Acts,', 'bk.%25BookOfActs_Writing')"
"(234, 248, ""Paul's missions"", 'bk.*paulsmissionsperiod')"
"(279, 310, ""Paul's trial and voyage to Rome,"", 'bk.*paulstrialvoyageromeseries')"
"(369, 376, 'Eusebius', 'bio.EusebiusCaesarea')"
"(408, 427, 'Neronian persecution', 'bk.tle%3apersecutionchristiansundernero')"
"(0, 20, 'John (Son of Zebedee)', 'bk.%23John')"
"(26, 28, '100', 'date.100')"
"(90, 107, 'book of Revelation', 'bk.%25BookOfRevelation_Writing')"
"(144, 153, 'Tertullian', 'bk.%25Tertullian_Person')"
"(177, 180, 'Rome', 'bk.%25Rome_Place')"
"(205, 210, 'Patmos', 'bk.%25Patmos_Place')"
"(213, 254, 'The Prescription against Heretics 36.14–15', 'tertullian.10.36')"
"(268, 284, 'reign of Domitian', 'bk.tle%3areignemperordomitianrome')"
"(0, 18, 'Ignatius of Antioch', 'bio.IgnatiusAntioch.1')"
"(21, 26, '50–110', 'date.50-110')"
"(30, 35, 'bishop', 'bk.%25bishop')"
"(40, 53, 'Syrian Antioch', 'bk.%25AntiochOfSyria_Place')"
"(66, 86, 'Epistles of Ignatius,', 'bk.%25EpistlesOfIgnatius_Writing')"
"(161, 175, 'reign of Trajan', 'bk.tle%3areigntrajanrome')"
"(0, 7, 'Polycarp', 'bk.%25Polycarp_Person')"
"(10, 15, '69–155', 'date.69-155')"
"(29, 34, 'Smyrna', 'bk.%25Smyrna_Place')"
"(37, 44, 'disciple', 'bk.%disciple')"
"(49, 52, 'John', 'bk.%23John')"
"(66, 86, 'Martyrdom of Polycarp', 'bk.%25MartyrdomOfPolycarp_Writing')"
"(130, 138, 'his death', 'bk.tle%3adeathpolycarpbishopsmyrna')"
"(183, 205, 'reign of Antoninus Pius', 'bk.tle%3areignantoninuspius')"
"(0, 12, 'Justin Martyr', 'bk.%25JustinMartyr_Person')"
"(15, 21, '100–165', 'date.100-165')"
"(35, 43, 'apologist', 'bk.%25Apologists')"
"(56, 85, 'First Apology of Justin Martyr', 'bk.%FirstApologyJustinMartyr_Writing')"
"(213, 243, 'Second Apology of Justin Martyr', 'bk.%SecondApologyJustinMartyr_Writing')"
"(307, 330, 'reign of Marcus Aurelius', 'bk.tle%3areignmarcusaureliusrome')"
"(0, 7, 'Perpetua', 'bio.vibiaperpetua_1')"
"(10, 19, 'c. 181–203', 'date.181+c-203')"
"(69, 108, 'Passion of St. Perpetua and St. Felicity', 'bk.%PassionOfStPerpetua_Writing')"
"(215, 222, 'Carthage', 'bk.%25Carthage_Place')"
"(0, 4, 'Pliny', 'bio.plinyyounger')"
"(7, 12, '61–113', 'date.61-113')"
"(22, 28, 'senator', 'bk.%25senator')"
"(34, 41, 'governor', 'bk.%governor')"
"(46, 53, 'Bithynia', 'bk.%25Bithynia_Place')"
"(59, 64, 'Pontus', 'bk.%25Pontus_Place')"
"(67, 73, '100–112', 'date.100-112')"
"(0, 5, 'Celsus', 'bio.Celsus')"
"(8, 21, 'second century', 'date.101+100')"
"(37, 47, 'philosopher', 'bk.%25philosopher')"
"(89, 101, 'The True Word', 'bk.%TheTrueWord_Writing')"
"(0, 7, 'Novatian', 'bk.%25NovatianOfRome.1_Person')"
"(10, 16, '200–258', 'date.200-258')"
"(26, 34, 'presbyter', 'bk.%25presbyter')"
"(40, 47, 'antipope', 'bk.%25Antipope')"
"(82, 99, 'Decian persecution', 'bk.tle%3apersecutionchristiansunder1')"
"(113, 124, 'Novatianism,', 'bk.%25Novatianism_Belief')"
"(0, 6, 'Donatus', 'bk.%25DonatusOfCarthage_Person')"
"(12, 14, '355', 'date.355')"
"(52, 59, 'Donatism', 'bk.%25Donatism_Belief')"
"(0, 20, 'Martyrdom of Polycarp', 'bk.%25MartyrdomOfPolycarp_Writing')"
"(23, 28, 'c. 155', 'date.155+c')"
"(0, 28, 'Acts of the Scillitan Martyrs', 'bk.%ActsScillitanMartyrs_Writing')"
"(31, 52, 'c. late second century', 'date.300+100+l')"
"(66, 70, 'Latin', 'bk.%25LatinLanguage_Language')"
"(12, 28, 'Scillitan Martyrs', 'bio.thescillitanmartyrdom_1')"
"(0, 39, 'Passion of St. Perpetua and St. Felicity', 'bk.%PassionOfStPerpetua_Writing')"
"(42, 44, '203', 'date.203')"
"(0, 17, 'Book of Revelation', 'bk.%25BookOfRevelation_Writing')"
"(20, 29, 'ca. 90–100', 'date.90+c-100')"
"(85, 105, 'John (Son of Zebedee)', 'bk.%23John')"
"(0, 33, 'The First Apology of Justin Martyr', 'bk.%FirstApologyJustinMartyr_Writing')"
"(36, 38, '150', 'date.150')"
"(0, 24, 'The Apology of Tertullian', 'bk.%TheApologyOfTertullian_Writing')"
"(27, 32, 'c. 196', 'date.196+c')"
"(0, 13, 'To the Martyrs', 'bk.%ToTheMartyrs_Writing')"
"(28, 33, 'c. 197', 'date.197+c')"
"(0, 13, 'To the Nations', 'bk.%ToTheNations_Writing')"
"(28, 33, 'c. 197', 'date.197+c')"
"(0, 18, 'Edict of Toleration', 'bk.%EdictOfToleration311_Writing')"
"(39, 41, '311', 'date.311')"
"(127, 140, 'religio licita', 'bk.%25religioLicita')"
"(0, 23, 'First Epistle of Clement', 'bk.%25FirstEpistleOfClement_Writing')"
"(111, 127, 'church at Corinth', 'bk.%23Church.14')"
"(0, 19, 'Epistles of Ignatius', 'bk.%25EpistlesOfIgnatius_Writing')"
"(127, 141, 'reign of Trajan', 'bk.tle%3areigntrajanrome')"
"(185, 191, 'Ephesus', 'bk.%25Ephesus_Place')"
"(194, 201, 'Magnesia', 'bk.%25Magnesia_Place')"
"(204, 210, 'Tralles', 'bk.%40Tralles')"
"(89, 92, 'Rome', 'bk.%25Rome_Place')"
"(219, 230, 'Philadelphia', 'bk.%25Philadelphia_Place')"
"(237, 242, 'Smyrna', 'bk.%25Smyrna_Place')"
"(269, 276, 'Polycarp', 'bk.%25Polycarp_Person')"
"(0, 5, 'Annals', 'bk.%Annals_Writing')"
"(8, 24, 'Cornelius Tacitus', 'bio.corneliustacitus')"
"(27, 46, 'early second century', 'date.300+100+e')"
"(103, 110, 'Augustus', 'bk.%23Augustus2.1')"
"(119, 131, 'reign of Nero', 'bk.tle%3areignnerorome')"
"(148, 159, 'fire in Rome', 'bk.tle%3afirerome')"
"(184, 228, ""persecution of Christians during Nero's reign"", 'bk.tle%3apersecutionchristiansundernero')"
"(0, 21, 'Ecclesiastical History', 'bk.%EcclesiasticalHistory_Writing')"
"(24, 31, 'Eusebius', 'bio.EusebiusCaesarea')"
"(34, 36, '325', 'date.325')"
"(119, 122, '4.15', 'eusebius.1.4.15.3')"
"(125, 127, '5.1', 'eusebius.1.5.1.1')"
"(134, 137, '5.21', 'eusebius.1.5.21.1')"
"(0, 12, 'The True Word', 'bk.%TheTrueWord_Writing')"
"(23, 36, 'second century', 'date.101+100')"
"(0, 9, 'Tertullian', 'bk.%25Tertullian_Person')"
"(12, 21, 'c. 160–230', 'date.160+c-230')"
"(33, 41, 'apologist', 'bk.%25Apologists')"
"(47, 65, 'Latin church father', 'bk.%LatinChurchFathers_People')"
"(172, 196, 'The Apology of Tertullian', 'bk.%TheApologyOfTertullian_Writing')"
"(199, 212, 'To the Nations', 'bk.%ToTheNations_Writing')"
"(219, 232, 'To the Martyrs', 'bk.%ToTheMartyrs_Writing')"
"(0, 9, 'Lactantius', 'bk.%25Lactantius_Person')"
"(12, 18, '240–320', 'date.240-320')"
"(32, 40, 'apologist', 'bk.%25Apologists')"
"(94, 103, 'Diocletian', 'bio.Diocletian')"
