ner_tuple
"(0, 7, 'Poverty', 'bk.tle:Poverty')"
"(0, 16, 'Apostolic poverty', 'bk.%apostolicPoverty')"
"(60, 70, '1100s–1200s', 'date.1100+100-1200+100')"
"(41, 51, '1100s–1200s', 'date.1100+100-1200+100')"
"(33, 39, 'bishops', 'bk.%bishop')"
"(122, 129, 'heretics', 'bk.%25heretic')"
"(132, 147, 'late 1100s–1200s', 'date.1100+100+l-1200+100')"
"(23, 43, 'Roman Catholic Church', 'bk.%25RomanCatholicism_Belief')"
"(73, 78, 'papacy', 'bk.%25papacy')"
"(112, 122, '1100s–1400s', 'date.1100+100-1400+100')"
"(4, 19, 'mendicant orders', 'bk.%25MendicantOrders')"
"(117, 127, 'early 1200s', 'date.1200+100+e')"
"(0, 5, 'Heresy', 'bk.%25heresy')"
"(23, 29, 'treason', 'bk.%25treason')"
"(63, 71, 'mid-1200s', 'date.1200+100+m')"
"(57, 64, 'doctrine', 'bk.%25doctrine')"
"(67, 77, '1300s–1400s', 'date.1300+100-1400+100')"
"(0, 14, 'Pope Lucius III', 'bk.%25PopeLuciusIII_Person')"
"(17, 41, 'c. 1097–November 25, 1185', 'date.1097+c-1185.11.25')"
"(45, 48, 'pope', 'bk.%25pope')"
"(54, 59, 'bishop', 'bk.%bishop')"
"(64, 67, 'Rome', 'bk.@Rome')"
"(70, 79, '1181--1185', 'date.1181-1185')"
"(108, 119, 'Ad Abolendam', 'bk.%AdAbolendam_Writing')"
"(157, 162, 'heresy', 'bk.%heresy')"
"(204, 224, 'Episcopal Inquisition', 'bk.%EpiscopalInquisition')"
"(0, 11, 'Innocent III', 'bio.PopeInnocentIII')"
"(14, 31, '1160–July 16, 1216', 'date.1160-1216.7.16')"
"(60, 68, '1198-1216', 'date.1198-1216')"
"(88, 109, 'Fourth Lateran Council', 'bk.tle%3afourthlaterancouncil')"
"(127, 137, 'Franciscans', 'bk.%25Franciscans_People')"
"(148, 162, 'religious order', 'bk.%25ReligiousOrder')"
"(179, 197, 'Albigensian Crusade', 'bk.tle%3aalbigensiancrusade')"
"(211, 216, 'France', 'bk.%40France')"
"(0, 9, 'Gregory IX', 'bio.PopeGregoryIX')"
"(15, 29, 'August 22, 1241', 'date.1241.8.22')"
"(58, 66, '1227–1241', 'date.1227-1241')"
"(89, 105, 'Papal Inquisition', 'bk.%PapalInquisition')"
"(149, 162, 'Excommunicamus', 'bk.%Excommunicamus_Writing')"
"(0, 16, 'Arnold of Brescia', 'bk.%25ArnoldOfBrescia_Person')"
"(19, 27, '1090–1155', 'date.1090-1155')"
"(81, 94, 'canons regular', 'bk.%25canonsRegular')"
"(284, 305, 'Second Lateran Council', 'bk.%25councilOfLateran1139')"
