ner_tuple
"(0, 16, 'RadicalReformers', 'bk.tle:RadicalReformers')"
"(0, 10, 'Reformation', 'bk.%25Reformation')"
"(21, 27, 'Germany', 'bk.%40Germany')"
"(33, 43, 'Switzerland', 'bk.%40Switzerland')"
"(128, 148, 'Roman Catholic Church', 'bk.%25RomanCatholicism_Belief')"
"(151, 161, 'early 1500s', 'date.1500+100+e')"
"(0, 7, 'Humanist', 'bk.%25Humanism_Belief')"
"(36, 44, 'mysticism', 'bk.%25mysticism')"
"(50, 60, 'rationalism', 'bk.%25Rationalism')"
"(63, 67, '1500s', 'date.1500+100')"
"(67, 77, 'Protestants', 'bk.%25Protestantism_Belief')"
"(80, 84, '1500s', 'date.1500+100')"
"(0, 10, 'Anabaptists', 'bk.%25Anabaptists')"
"(25, 35, 'persecution', 'bk.%25persecution')"
"(97, 101, '1500s', 'date.1500+100')"
"(59, 74, 'church and state', 'bk.%25churchAndState')"
"(77, 87, '1520s–1530s', 'date.1520+10-1530+10')"
"(120, 128, '1524–1525', 'date.1524-1525')"
"(29, 44, ""Ulrich Zwingli's"", 'bk.%25UlrichZwingli_Person')"
"(113, 116, '1525', 'date.1525')"
"(0, 17, ""Believers' baptism"", 'bk.%25credobaptism_Belief')"
"(63, 76, 'infant baptism', 'bk.%25infantBaptism')"
"(79, 82, '1525', 'date.1525')"
"(43, 58, 'return of Christ', 'lsto.SecondComing')"
"(89, 97, 'theocracy', 'bk.%25theocracy')"
"(100, 108, '1534–1535', 'date.1534-1535')"
"(0, 17, 'Balthasar Hübmaier', 'bk.%25BalthasarHubmaier_Person')"
"(20, 38, '1480–March 10, 1528', 'date.1480-1528.3.10')"
"(49, 58, 'Anabaptist', 'bk.%25Anabaptists')"
"(60, 69, 'theologian', 'bk.%25theologian')"
"(72, 77, 'author', 'bk.%25author')"
"(84, 89, 'martyr', 'bk.%martyr')"
"(103, 112, 'Johann Eck', 'bio.JohannEck')"
"(167, 179, 'Martin Luther', 'bio.MartinLuther')"
"(185, 198, 'Ulrich Zwingli', 'bk.%25UlrichZwingli_Person')"
"(221, 226, 'heresy', 'bk.%25heresy')"
"(0, 16, 'Andreas Karlstadt', 'bk.%25AndreasBodensteinvonKarlstadt.1_Person')"
"(19, 40, '1486–December 24, 1541', 'date.1486-1541.12.24')"
"(86, 109, 'University of Wittenberg', 'bk.%UniversityOfWittenberg_Place')"
"(123, 135, 'scholasticism', 'bk.%25Scholasticism_Belief')"
"(168, 193, 'the Protestant Reformation', 'bk.tle%3aprotestantreformation')"
"(232, 238, 'Leipzig', 'bk.%40Leipzig')"
"(0, 14, 'Michael Sattler', 'bk.%25MichaelSattler_Person')"
"(17, 25, '1495–1527', 'date.1495-1527')"
"(36, 46, 'Benedictine', 'bk.%25Benedictines_People')"
"(115, 128, 'Swiss Brethren', 'bk.%25SwissBrethren_People')"
"(145, 166, 'Schleitheim Confession', 'bk.%schleitheimConfession')"
"(252, 259, 'pacifism', 'bk.%25peacemaking')"
"(262, 279, ""believers' baptism"", 'bk.%credobaptism_Belief')"
"(0, 14, 'George Blaurock', 'bio.GeorgBlaurock')"
"(17, 28, 'c. 1492–1529', 'date.1492+c-1529')"
"(57, 66, 'evangelist', 'bk.%25evangelist')"
"(115, 132, 'he was re-baptized', 'bk.tle%3ageorgeblaurockrebaptized')"
"(0, 11, 'Menno Simons', 'bk.%25MennoSimons_Person')"
"(14, 34, '1496–January 31, 1561', 'date.1496-1561.1.31')"
"(99, 108, 'Mennonites', 'bk.%25Mennonites_People')"
"(165, 196, 'Foundation of Christian Doctrine', 'bk.%FoundationOfChristianDoctrineMenno_Writing')"
"(202, 225, 'The True Christian Faith', 'bk.%TheTrueChristianFaithMenno_Writing')"
"(0, 12, 'Conrad Grebel', 'bk.%25ConradGrebel_Person')"
"(15, 23, '1498–1526', 'date.1498-1526')"
"(0, 9, 'Felix Manz', 'bk.%25FelixManz_Person')"
"(12, 31, '1498–January 5, 1527', 'date.1498-1527.1.5')"
"(0, 11, 'Jacob Hutter', 'bk.%25JacobHutter_Person')"
"(14, 38, 'c. 1500–February 25, 1536', 'date.1500+c-1536.2.25')"
"(94, 111, 'Hutterite Brethren', 'bk.%25Hutterite_Denom')"
"(0, 12, 'Martin Luther', 'bio.MartinLuther')"
"(15, 49, 'November 10, 1483–February 18, 1546', 'date.1483.11.10-1546.2.18')"
"(73, 83, 'Augustinian', 'bk.%25AugustinianHermits_People')"
"(131, 137, 'Germany', 'bk.%40Germany')"
"(187, 204, 'Ninety-Five Theses', 'bk.%25NinetyFiveTheses_Writing')"
"(243, 253, 'indulgences', 'bk.%25indulgence')"
"(273, 285, 'Diet of Worms', 'bk.tle%3adietworms')"
"(0, 13, 'Ulrich Zwingli', 'bk.%25UlrichZwingli_Person')"
"(16, 47, 'January 1, 1484–October 11, 1531', 'date.1484.1.1-1531.10.11')"
"(107, 117, 'Switzerland', 'bk.%40Switzerland')"
"(215, 232, 'Sixty-Seven Theses', 'bk.%sixtySevenArticles_Writing')"
"(269, 289, 'Roman Catholic Church', 'bk.%25RomanCatholicism_Belief')"
"(339, 351, 'New Testament', 'bk.%25NewTestament_Writing')"
"(0, 15, 'Michael Servetus', 'bk.%25MichaelServetus_Person')"
"(18, 29, 'c. 1511–1553', 'date.1511+c-1553')"
"(106, 113, 'humanism', 'bk.%25Humanism_Belief')"
"(161, 188, 'On the Errors of the Trinity', 'bk.%OnTheErrorsOfTheTrinity_Writing')"
"(213, 223, 'John Calvin', 'bio.JohnCalvin')"
"(0, 14, 'Laelius Socinus', 'bio.laeliussocinus_1')"
"(17, 44, 'January 29, 1525–May 4, 1562', 'date.1525.1.29-1562.5.4')"
"(51, 65, 'Faustus Socinus', 'bio.faustussocinus_1')"
"(68, 98, 'December 5, 1539--March 4, 1604', 'date.1539.12.5-1604.3.4')"
"(157, 167, 'Socinianism', 'bk.%25Socinian_Belief')"
"(186, 197, 'Unitarianism', 'bk.%25Unitarianism_Belief')"
"(226, 244, 'Confession of Faith', 'bk.%ConfessionOfFaithSocinus_Writing')"
"(354, 373, 'On Christ the Savior', 'bk.%OnChristTheSaviorFaustus_Writing')"
"(433, 444, 'satisfaction', 'bk.%25satisfaction')"
"(0, 13, 'Thomas Müntzer', 'bio.ThomasMuntzer')"
"(16, 32, '1490–May 27, 1525', 'date.1490-1525.5.27')"
"(68, 88, 'University of Leipzig', 'bk.%25UniversityOfLeipzig_Place')"
"(155, 168, 'Leipzig Debate', 'bk.tle:lutherdebatesjohanneckleipzig')"
"(247, 259, ""Peasants' War"", 'bk.%25PeasantsWar')"
"(285, 307, 'Battle of Frankenhausen', 'bk.tle%3abattlefrankenhausengerman')"
"(0, 15, 'Melchior Hoffman', 'bk.%25MelchiorHoffmann_Person')"
"(18, 26, '1495–1543', 'date.1495-1543')"
"(127, 137, 'eschatology', 'bk.%25eschatology')"
"(170, 185, 'return of Christ', 'lsto.SecondComing')"
"(216, 227, 'Melchiorites', 'bk.%Melchiorites_People')"
"(0, 13, 'Nicolas Storch', 'bk.%25NicolasStorch_Person')"
"(19, 28, 'after 1536', 'date.1536+c')"
"(78, 93, 'Zwickau Prophets', 'bk.%25ZwickauProphets_People')"
"(153, 163, 'Holy Spirit', 'bk.%25HolySpirit_Deity')"
"(183, 200, 'special revelation', 'lsto.SpecialRevelation')"
"(207, 215, 'Scripture', 'bk.pt%3aScripture')"
"(221, 229, 'tradition', 'bk.%25tradition')"
"(0, 13, 'John of Leiden', 'bio.JohnLeiden')"
"(16, 24, '1510–1536', 'date.1510-1536')"
"(107, 117, 'Münsterites', 'bk.%Munsterites_People')"
"(107, 113, 'Münster', 'bk.%40MunsterGermany')"
"(0, 9, 'Hans Denck', 'bk.%25HansDenck_Person')"
"(12, 33, '1495–November 27, 1527', 'date.1495-1527.11.27')"
"(82, 87, 'mystic', 'bk.%25mystic')"
"(124, 145, 'Johannes Oecolampadius', 'bk.%25JohannesOecolampadius_Person')"
"(0, 15, 'Sebastian Franck', 'bk.%25SebastianFranck_Person')"
"(18, 38, 'January 20, 1499–1543', 'date.1499.1.20-1543')"
"(192, 202, 'orthodoxies', 'bk.%25Orthodoxy')"
"(208, 212, 'dogma', 'bk.%25dogma')"
"(0, 14, 'Twelve Articles', 'bk.%25TwelveArticles_Writing')"
"(17, 20, '1525', 'date.1525')"
"(0, 21, 'Schleitheim Confession', 'bk.%25schleitheimConfession')"
"(41, 44, '1527', 'date.1527')"
"(0, 28, 'Hutterite Confession of Faith', 'bk.%justificationHutterite_Writing')"
"(31, 45, 'Peter Riedemann', 'bio.peterriedemann')"
"(48, 56, '1540–1542', 'date.1540-1542')"
"(0, 18, 'Confession of Faith', 'bk.%ConfessionOfFaithSocinus_Writing')"
"(36, 39, '1550', 'date.1550')"
"(0, 26, 'A Sermon Before the Princes', 'bk.%SermonBeforePrinces_Writing')"
"(45, 48, '1524', 'date.1524')"
"(64, 80, 'John the Constant', 'bk.%25JohnTheConstant_Person')"
"(0, 26, 'On the Baptism of Believers', 'bk.%OnBaptismOfBelievers_Writing')"
"(49, 52, '1525', 'date.1525')"
"(0, 19, 'The Ordinance of God', 'bk.%OrdinanceOfGod_Writing')"
"(40, 43, '1530', 'date.1530')"
"(0, 27, 'On the Errors of the Trinity', 'bk.%OnTheErrorsOfTheTrinity_Writing')"
"(48, 51, '1531', 'date.1531')"
"(0, 31, 'Foundation of Christian Doctrine', 'bk.%FoundationOfChristianDoctrineMenno_Writing')"
"(48, 51, '1539', 'date.1539')"
"(0, 19, 'On Christ the Savior', 'bk.%OnChristTheSaviorFaustus_Writing')"
"(39, 42, '1594', 'date.1594')"
"(105, 116, 'satisfaction', 'bk.%25satisfaction')"
"(0, 17, 'Balthasar Hübmaier', 'bk.%25BalthasarHubmaier_Person')"
"(20, 38, '1480–March 10, 1528', 'date.1480-1528.3.10')"
"(49, 58, 'Anabaptist', 'bk.%25Anabaptists')"
"(60, 69, 'theologian', 'bk.%25theologian')"
"(72, 77, 'author', 'bk.%25author')"
"(84, 89, 'martyr', 'bk.%martyr')"
"(103, 112, 'Johann Eck', 'bio.JohannEck')"
"(167, 179, 'Martin Luther', 'bio.MartinLuther')"
"(185, 198, 'Ulrich Zwingli', 'bk.%25UlrichZwingli_Person')"
"(221, 226, 'heresy', 'bk.%25heresy')"
"(0, 16, 'Andreas Karlstadt', 'bk.%25AndreasBodensteinvonKarlstadt.1_Person')"
"(19, 40, '1486–December 24, 1541', 'date.1486-1541.12.24')"
"(86, 109, 'University of Wittenberg', 'bk.%UniversityOfWittenberg_Place')"
"(123, 135, 'scholasticism', 'bk.%25Scholasticism_Belief')"
"(168, 193, 'the Protestant Reformation', 'bk.tle%3aprotestantreformation')"
"(232, 238, 'Leipzig', 'bk.%40Leipzig')"
"(0, 14, 'Michael Sattler', 'bk.%25MichaelSattler_Person')"
"(17, 25, '1495–1527', 'date.1495-1527')"
"(36, 46, 'Benedictine', 'bk.%25Benedictines_People')"
"(115, 128, 'Swiss Brethren', 'bk.%25SwissBrethren_People')"
"(145, 166, 'Schleitheim Confession', 'bk.%schleitheimConfession')"
"(252, 259, 'pacifism', 'bk.%25peacemaking')"
"(262, 279, ""believers' baptism"", 'bk.%credobaptism_Belief')"
"(0, 14, 'George Blaurock', 'bio.GeorgBlaurock')"
"(17, 28, 'c. 1492–1529', 'date.1492+c-1529')"
"(57, 66, 'evangelist', 'bk.%25evangelist')"
"(115, 132, 'he was re-baptized', 'bk.tle%3ageorgeblaurockrebaptized')"
"(0, 11, 'Menno Simons', 'bk.%25MennoSimons_Person')"
"(14, 34, '1496–January 31, 1561', 'date.1496-1561.1.31')"
"(99, 108, 'Mennonites', 'bk.%25Mennonites_People')"
"(165, 196, 'Foundation of Christian Doctrine', 'bk.%FoundationOfChristianDoctrineMenno_Writing')"
"(202, 225, 'The True Christian Faith', 'bk.%TheTrueChristianFaithMenno_Writing')"
"(0, 12, 'Conrad Grebel', 'bk.%25ConradGrebel_Person')"
"(15, 23, '1498–1526', 'date.1498-1526')"
"(0, 9, 'Felix Manz', 'bk.%25FelixManz_Person')"
"(12, 31, '1498–January 5, 1527', 'date.1498-1527.1.5')"
"(0, 11, 'Jacob Hutter', 'bk.%25JacobHutter_Person')"
"(14, 38, 'c. 1500–February 25, 1536', 'date.1500+c-1536.2.25')"
"(94, 111, 'Hutterite Brethren', 'bk.%25Hutterite_Denom')"
"(0, 3, '1523', 'date.1523')"
