ner_tuple
"(0, 10, 'RisePapacy', 'bk.tle:RisePapacy')"
"(4, 25, 'First Council of Nicea', 'bk.tle%3afirstcouncilnicea')"
"(42, 52, 'preeminence', 'bk.%25preeminence')"
"(61, 71, 'episcopates', 'bk.%25episcopal')"
"(76, 85, 'Alexandria', 'bk.%25Alexandria_Place')"
"(88, 94, 'Antioch', 'bk.%25Antioch_Place')"
"(101, 104, 'Rome', 'bk.%25Rome_Place')"
"(107, 109, '325', 'date.325')"
"(0, 66, 'Constantine moves the capital of the Roman Empire to Constantinople', 'bk.tle%3aconstantinemovescapitalroman')"
"(102, 104, '330', 'date.330')"
"(4, 23, 'Council of Chalcedon', 'bk.tle%3acouncilchalcedon')"
"(36, 49, 'Constantinople', 'bk.%40Constantinople')"
"(75, 77, '451', 'date.451')"
"(13, 18, '""pope""', 'bk.%25pope')"
"(57, 62, 'bishop', 'bk.%25bishop')"
"(73, 80, 'mid-400s', 'date.400+100+m')"
"(4, 12, 'pentarchy', 'bk.%25pentarchy')"
"(41, 50, 'patriarchs', 'bk.%patriarchOrthodox')"
"(113, 121, 'Jerusalem', 'bk.%25Jerusalem_Place')"
"(124, 132, '500s–600s', 'date.500+100-600+100')"
"(17, 29, 'papal primacy', 'bk.%25PapalPrimacy_Writing')"
"(39, 58, 'apostolic succession', 'bk.%25apostolicSuccession')"
"(110, 129, 'late 500s–early 600s', 'date.500+100+l-600+100+e')"
"(72, 83, 'Papal States', 'bk.%40PapalStates')"
"(98, 115, 'temporal authority', 'bk.%25temporalPower')"
"(130, 137, 'mid-700s', 'date.700+100+m')"
"(0, 11, 'Pope Leo III', 'bk.%25PopeSaintLeoIII_Person')"
"(21, 64, 'Charlemagne emperor of the Holy Roman Empire', 'bk.tle%3acharlemagnecrownedholyroman')"
"(67, 69, '800', 'date.800')"
"(0, 20, 'Constantine the Great', 'bio.ConstantineI')"
"(23, 50, 'February 27, 272–May 22, 337', 'date.272.2.27-337.5.22')"
"(54, 60, 'emperor', 'bk.%25emperor')"
