ner_tuple
"(0, 19, 'SporadicPersecution', 'bk.tle:SporadicPersecution')"
"(0, 4, 'Peter', 'bk.%23Peter')"
"(21, 27, 'apostle', 'bk.%25apostle')"
"(75, 91, 'Epistles of Peter', 'bk.%25EpistlesofSaintPeter')"
"(100, 112, 'New Testament', 'bk.%25NewTestament_Writing')"
"(128, 135, 'Eusebius', 'bio.EusebiusCaesarea')"
"(168, 187, 'Neronian persecution', 'bk.tle%3apersecutionchristiansundernero')"
"(0, 3, 'Paul', 'bk.%23Paul')"
"(32, 39, 'Gentiles', 'bk.%23Gentiles')"
"(61, 70, 'missionary', 'bk.%25evangelist')"
"(89, 98, 'conversion', 'bk.*PaulConversion')"
"(143, 158, 'Pauline Epistles', 'bk.%25PaulsLetters_Writting')"
"(197, 208, 'Book of Acts', 'bk.%25BookOfActs_Writing')"
"(224, 238, ""Paul's missions"", 'bk.*paulsmissionsperiod')"
"(269, 299, ""Paul's trial and voyage to Rome"", 'bk.*paulstrialvoyageromeseries')"
"(358, 365, 'Eusebius', 'bio.EusebiusCaesarea')"
"(397, 416, 'Neronian persecution', 'bk.tle%3apersecutionchristiansundernero')"
"(0, 18, 'Ignatius of Antioch', 'bio.IgnatiusAntioch.1')"
"(43, 56, 'Syrian Antioch', 'bk.%25AntiochOfSyria_Place')"
"(69, 88, 'Epistles of Ignatius', 'bk.%25EpistlesOfIgnatius_Writing')"
"(166, 180, 'reign of Trajan', 'bk.tle%3areigntrajanrome')"
"(0, 7, 'Polycarp', 'bk.%25Polycarp_Person')"
"(22, 27, 'bishop', 'bk.%25bishop')"
"(32, 37, 'Smyrna', 'bk.%25Smyrna_Place')"
"(40, 47, 'disciple', 'bk.%23disciple')"
"(52, 55, 'John', 'bk.%23John')"
"(69, 88, 'Martydom of Polycarp', 'bk.%25MartyrdomOfPolycarp_Writing')"
"(129, 137, 'his death', 'bk.tle%3adeathpolycarpbishopsmyrna')"
"(182, 204, 'reign of Antoninus Pius', 'bk.tle%3areignantoninuspius')"
"(0, 12, 'Justin Martyr', 'bk.%25JustinMartyr_Person')"
"(38, 46, 'apologist', 'bk.%25Apologists')"
"(297, 320, 'reign of Marcus Aurelius', 'bk.tle%3areignmarcusaureliusrome')"
"(0, 7, 'Perpetua', 'bio.vibiaperpetua_1')"
"(218, 225, 'Carthage', 'bk.%25Carthage_Place')"
"(0, 7, 'Leonides', 'bk.%25Leonides.1_Person')"
"(43, 48, 'Origen', 'bio.Origen')"
"(71, 96, 'reign of Septimius Severus', 'bk.tle%3areignseptimiusseverusrome')"
"(0, 20, 'John (Son of Zebedee)', 'bk.%23John')"
"(63, 80, 'Book of Revelation', 'bk.%25BookOfRevelation_Writing')"
"(117, 126, 'Tertullian', 'bk.%25Tertullian_Person')"
"(150, 153, 'Rome', 'bk.%25Rome_Place')"
"(178, 183, 'Patmos', 'bk.%25Patmos_Place')"
"(186, 227, 'The Prescription against Heretics 36.14–15', 'https://ref.ly/logosres/anf03?ref=ecf.1.3.1.11.0.36')"
"(241, 257, 'reign of Domitian', 'bk.tle%3areignemperordomitianrome')"
"(0, 14, 'Clement of Rome', 'bio.PopeClementI')"
"(11, 14, 'Rome', 'bk.%25Rome_Place')"
"(62, 85, 'First Epistle of Clement', 'bk.%25FirstEpistleOfClement_Writing')"
"(208, 215, '1 Clem 5', 'https://ref.ly/logosres/anf10?ref=ecf.1.10.3.1.0.5')"
"(0, 20, 'Clement of Alexandria', 'bio.ClementAlexandria')"
"(0, 9, 'Tertullian', 'bk.%25Tertullian_Person')"
"(0, 3, 'Nero', 'bk.%23Nero')"
"(59, 70, 'fire in Rome', 'bk.tle%3afirerome')"
"(0, 4, 'Titus', 'bk.%25EmperorTitus_Person')"
"(0, 7, 'Domitian', 'bk.%25EmperorDomitian_Person')"
"(0, 5, 'Trajan', 'bk.%25EmperorTrajan_Person')"
"(0, 4, 'Pliny', 'bio.plinyyounger')"
"(25, 31, 'senator', 'bk.%25senator')"
"(37, 44, 'governor', 'bk.%23governor')"
"(49, 56, 'Bithynia', 'bk.%25Bithynia_Place')"
"(62, 67, 'Pontus', 'bk.%25Pontus_Place')"
"(0, 13, 'Antoninus Pius', 'bk.%25AntoninusPius_Person')"
"(0, 14, 'Marcus Aurelius', 'bio.MarcusAurelius')"
"(0, 16, 'Septimius Severus', 'bk.%25SeptimiusSeverus_Person')"
"(0, 4, 'Peter', 'bk.%23Peter')"
"(21, 27, 'apostle', 'bk.%25apostle')"
"(75, 91, 'Epistles of Peter', 'bk.%25EpistlesofSaintPeter')"
"(100, 112, 'New Testament', 'bk.%25NewTestament_Writing')"
"(128, 135, 'Eusebius', 'bio.EusebiusCaesarea')"
"(168, 187, 'Neronian persecution', 'bk.tle%3apersecutionchristiansundernero')"
"(0, 3, 'Paul', 'bk.%23Paul')"
"(32, 39, 'Gentiles', 'bk.%23Gentiles')"
"(61, 70, 'missionary', 'bk.%25evangelist')"
"(89, 98, 'conversion', 'bk.*PaulConversion')"
"(143, 158, 'Pauline Epistles', 'bk.%25PaulsLetters_Writting')"
"(197, 208, 'Book of Acts', 'bk.%25BookOfActs_Writing')"
"(224, 238, ""Paul's missions"", 'bk.*paulsmissionsperiod')"
"(269, 299, ""Paul's trial and voyage to Rome"", 'bk.*paulstrialvoyageromeseries')"
"(358, 365, 'Eusebius', 'bio.EusebiusCaesarea')"
"(397, 416, 'Neronian persecution', 'bk.tle%3apersecutionchristiansundernero')"
"(0, 18, 'Ignatius of Antioch', 'bio.IgnatiusAntioch.1')"
"(43, 56, 'Syrian Antioch', 'bk.%25AntiochOfSyria_Place')"
"(69, 88, 'Epistles of Ignatius', 'bk.%25EpistlesOfIgnatius_Writing')"
"(166, 180, 'reign of Trajan', 'bk.tle%3areigntrajanrome')"
"(0, 7, 'Polycarp', 'bk.%25Polycarp_Person')"
"(22, 27, 'bishop', 'bk.%25bishop')"
"(32, 37, 'Smyrna', 'bk.%25Smyrna_Place')"
"(40, 47, 'disciple', 'bk.%23disciple')"
"(52, 55, 'John', 'bk.%23John')"
"(69, 88, 'Martydom of Polycarp', 'bk.%25MartyrdomOfPolycarp_Writing')"
"(129, 137, 'his death', 'bk.tle%3adeathpolycarpbishopsmyrna')"
"(182, 204, 'reign of Antoninus Pius', 'bk.tle%3areignantoninuspius')"
"(0, 12, 'Justin Martyr', 'bk.%25JustinMartyr_Person')"
"(38, 46, 'apologist', 'bk.%25Apologists')"
"(297, 320, 'reign of Marcus Aurelius', 'bk.tle%3areignmarcusaureliusrome')"
"(0, 7, 'Perpetua', 'bio.vibiaperpetua_1')"
"(218, 225, 'Carthage', 'bk.%25Carthage_Place')"
"(0, 7, 'Leonides', 'bk.%25Leonides.1_Person')"
"(43, 48, 'Origen', 'bio.Origen')"
"(71, 96, 'reign of Septimius Severus', 'bk.tle%3areignseptimiusseverusrome')"
"(10, 30, 'Reign of Nero in Rome', 'bk.tle%3areignnerorome')"
"(10, 45, 'Persecution of Christians Under Nero', 'bk.tle%3apersecutionchristiansundernero')"
"(7, 18, 'Fire in Rome', 'bk.tle%3afirerome')"
"(7, 23, 'Martyrdom of Paul', 'bk.tle%3amartyrdompaul')"
"(10, 27, 'Martyrdom of Peter', 'bk.tle%3amartyrdonpeter')"
"(10, 39, 'Reign of Emperor Titus in Rome', 'bk.tle%3areignemperortitusrome')"
"(10, 42, 'Reign of Emperor Domitian in Rome', 'bk.tle%3areignemperordomitianrome')"
"(10, 37, 'John Sees a Vision on Patmos', 'bk.tle%3ajohnseesvisionpatmos')"
"(10, 49, 'Persecution of Christians Under Domitian', 'bk.tle%3apersecutionchristiansunder')"
"(11, 33, 'Reign of Trajan in Rome', 'bk.tle%3areigntrajanrome')"
"(9, 30, 'Martyrdom Is Glorified', 'bk.tle%3amartyrdomglorified')"
"(8, 50, ""Clement of Rome Writes of Peter's Martyrdom"", 'bk.tle%3aclementromewritespeters')"
"(8, 42, 'Emperor Worship Established in Rome', 'bk.tle%3aemperorworshipestablishedrome')"
"(12, 55, 'Governorship of Pliny in Bithynia and Pontus', 'bk.tle%3agovernorshipplinybithynia')"
"(8, 77, 'Trajan Requires Christians to Offer Wine and Incense Before His Statue', 'bk.tle%3atrajanrequireschristiansoffer')"
"(12, 42, 'Reign of Antoninus Pius in Rome', 'bk.tle%3areignantoninuspius')"
"(12, 43, 'Reign of Marcus Aurelius in Rome', 'bk.tle%3areignmarcusaureliusrome')"
"(12, 45, 'Reign of Septimius Severus in Rome', 'bk.tle%3areignseptimiusseverusrome')"
"(11, 54, 'Martyrdom of Perpetua and Her Slave Felicity', 'bk.tle%3amartyrdomperpetuaherslave')"
"(11, 48, ""Martyrdom of Origen's Father, Leonides"", 'bk.tle%3amartyrdomorigensfatherleonides')"
"(0, 7, 'Carthage', 'bk.%25Carthage_Place')"
"(0, 8, 'Jerusalem', 'bk.%25Jerusalem_Place')"
"(23, 36, ""Herod's Temple"", 'bk.%24HerodianTemple')"
"(0, 3, 'Gaul', 'bk.%40Gaul')"
"(0, 5, 'Patmos', 'bk.%25Patmos_Place')"
"(41, 50, 'Revelation', 'bk.%25BookOfRevelation_Writing')"
"(0, 3, 'Rome', 'bk.%25Rome_Place')"
"(21, 32, 'Roman Empire', 'bk.%25RomanEmpire')"
"(0, 14, 'Emperor Worship', 'bk.%25emperorWorship')"
"(0, 8, 'Martydrom', 'bk.%25martyrdom')"
"(0, 10, 'Persecution', 'bk.%25persecution')"
"(0, 30, 'Persecution of the Early Church', 'bk.%25persecutionOfTheEarlyChurch')"
"(0, 18, 'Roman Imperial Cult', 'bk.%25romanImperialCult')"
"(0, 17, 'Book of Revelation', 'bk.%25BookOfRevelation_Writing')"
"(0, 20, 'Martyrdom of Polycarp', 'bk.%25MartyrdomOfPolycarp_Writing')"
"(0, 23, 'First Epistle of Clement', 'bk.%25FirstEpistleOfClement_Writing')"
"(103, 119, 'church at Corinth', 'bk.%23Church.14')"
"(0, 19, 'Epistles of Ignatius', 'bk.%25EpistlesOfIgnatius_Writing')"
"(150, 164, 'reign of Trajan', 'bk.tle%3areigntrajanrome')"
"(208, 214, 'Ephesus', 'bk.%25Ephesus_Place')"
"(217, 224, 'Magnesia', 'bk.%25Magnesia_Place')"
"(227, 233, 'Tralles', 'bk.%40Tralles')"
"(112, 115, 'Rome', 'bk.%25Rome_Place')"
"(242, 253, 'Philadelphia', 'bk.%25Philadelphia_Place')"
"(260, 265, 'Symrna', 'bk.%25Smyrna_Place')"
"(289, 296, 'Polycarp', 'bk.%25Polycarp_Person')"
"(44, 51, 'Eusebius', 'bio.EusebiusCaesarea')"
"(144, 147, '4.15', 'https://ref.ly/logosres/npnf15?ref=ecf.3.1.1.1.4.11')"
"(150, 152, '5.1', 'https://ref.ly/logosres/npnf15?ref=ecf.3.1.1.1.5.2')"
"(159, 162, '5.21', 'https://ref.ly/logosres/npnf15?ref=ecf.3.1.1.1.5.22')"
"(58, 79, '""64 The Fire in Rome.""', 'https://ref.ly/logosres/9781585581290?art=R7')"
"(11, 48, '""Circa 156 The Martyrdom of Polycarp.""', 'https://ref.ly/logosres/9781585581290?art=R10')"
"(20, 34, '""Persecutions.""', 'https://ref.ly/logosres/ncyncntchrstnty?art=P.151')"
"(22, 55, '""Persecution in the Early Church.""', 'https://ref.ly/res/LLS:CH101JAMES/2016-07-21T14:43:28Z/49159?len=26402')"
"(14, 38, '""Outward from Jerusalem.""', 'https://ref.ly/res/LLS:TRNNGPNTSDCSVMM/2013-07-22T19:58:44Z/88695?len=6174')"
"(78, 102, '""I. Christian Martyrdom.""', 'https://ref.ly/logosres/ncyncntchrstnty?art=M.93.1')"
"(32, 54, '""64---Fire Raves Rome.""', 'https://ref.ly/logosres/combkwhnwhr?art=CH2.50')"
"(11, 35, '""65---Peter Is Martyred.""', 'https://ref.ly/logosres/combkwhnwhr?art=CH2.51')"
"(11, 34, '""68---Paul Is Martyred.""', 'https://ref.ly/logosres/combkwhnwhr?art=CH2.51')"
"(11, 41, '""81---Domitian Becomes Caesar.""', 'https://ref.ly/logosres/combkwhnwhr?art=CH2.60')"
"(11, 50, '""110---Ignatius of Antioch Is Martyred.""', 'https://ref.ly/logosres/combkwhnwhr?art=CH3.1')"
"(11, 58, '""110---Persecution Begins under Emperor Trajan.""', 'https://ref.ly/logosres/combkwhnwhr?art=CH3.2')"
"(11, 39, '""156---Polycarp Is Martyred.""', 'https://ref.ly/logosres/combkwhnwhr?art=CH3.8')"
"(11, 61, '""202---Persecution Begins under Septimius Severus.""', 'https://ref.ly/logosres/combkwhnwhr?art=CH3.15')"
"(42, 106, 'Chapter II. Persecution of Christianity and Christian Martyrdom.""', 'https://ref.ly/res/LLS:6.10.3/2019-07-18T23:12:27Z/4922824?len=56594')"
"(18, 81, '""Chapter 4. If the Tiber Floods: The Persecution of Christians.""', 'https://ref.ly/res/LLS:CHRCHHSTPLN5THD/2021-07-09T21:16:17Z/116937?len=22715')"
"(18, 56, '""20. Roman Persecutions of Christians.""', 'https://ref.ly/logosres/ws-9fe5f34b7d4849c49972a11a6ec570fc?art=R30')"
